Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Construção,Participação_percentil,Defesa_percentil,Construção_percentil
Sun Guoliang,Changchun Yatai,ZAGUEIRO,CHN,-1.24,-1.88,-1.17,9.0,8.0,27.0
Jin Yangyang,Shanghai Shenhua,ZAGUEIRO,CHN,0.75,1.05,-0.02,67.0,81.0,52.0
M. Milović,Qingdao Hainiu,ZAGUEIRO,CHN,-0.92,0.57,0.6,23.0,66.0,70.0
D. Morris,Meizhou Hakka,ZAGUEIRO,CHN,-1.04,-0.49,-1.76,16.0,47.0,12.0
Vas Nuñez,Guangxi Pingguo Haliao,ZAGUEIRO,CHN,0.76,3.35,0.05,70.0,100.0,58.0
Wang Yaopeng,Changchun Yatai,ZAGUEIRO,CHN,-0.95,0.78,-0.26,22.0,73.0,42.0
V. Haroyan,Qingdao West Coast,ZAGUEIRO,CHN,-0.86,0.86,-0.54,30.0,77.0,34.0
Yi Teng,Yunnan Yukun,ZAGUEIRO,CHN,-0.92,0.54,-1.59,25.0,64.0,19.0
Wei Zhen,Shanghai Port,ZAGUEIRO,CHN,1.17,-0.89,0.47,88.0,30.0,69.0
Ma Sheng,Nantong Zhiyun,ZAGUEIRO,CHN,-0.05,0.19,-0.48,50.0,55.0,38.0
Chen Guoliang,Chengdu Rongcheng,ZAGUEIRO,CHN,-0.47,2.37,0.21,36.0,95.0,62.0
S. Sunzu,Cangzhou Mighty Lions,ZAGUEIRO,CHN,-1.23,0.19,-3.16,11.0,53.0,2.0
R. Windbichler,San Antonio,ZAGUEIRO,CHN,-0.87,-0.91,2.54,27.0,28.0,94.0
Yu Rui, Shenzhen Peng City,ZAGUEIRO,CHN,0.75,-0.72,-1.48,69.0,36.0,23.0
Yang Liu,Guangxi Pingguo Haliao,ZAGUEIRO,CHN,-0.87,-0.95,1.86,28.0,25.0,86.0
Aidi Fulangxisi,Shanghai Shenhua,ZAGUEIRO,CHN,0.99,0.42,-1.37,81.0,61.0,25.0
Liu Jiashen,Qingdao Hainiu,ZAGUEIRO,CHN,0.35,0.59,-1.86,61.0,67.0,11.0
M. Traoré,Beijing Guoan,ZAGUEIRO,CHN,0.05,-0.53,0.72,58.0,41.0,72.0
T. Letschert,Chengdu Rongcheng,ZAGUEIRO,CHN,2.03,-0.28,2.96,100.0,48.0,97.0
Izuchukwu Anthony,Nantong Zhiyun,ZAGUEIRO,CHN,0.83,0.65,0.03,72.0,69.0,56.0
Iago Maidana,Henan Songshan Longmen,ZAGUEIRO,CHN,-0.95,-0.58,-1.01,20.0,39.0,30.0
Bai Yang,Beijing Guoan,ZAGUEIRO,CHN,1.39,-2.47,2.22,95.0,2.0,91.0
David Andújar,Ponferradina,ZAGUEIRO,CHN,0.87,0.17,0.33,75.0,52.0,66.0
Zhang Chengdong,Beijing Guoan,ZAGUEIRO,CHN,1.37,-2.12,-0.5,94.0,5.0,36.0
Tian Ziyi,Meizhou Hakka,ZAGUEIRO,CHN,-0.41,-1.16,-3.09,38.0,22.0,3.0
Pan Ximing,Meizhou Hakka,ZAGUEIRO,CHN,-1.31,0.92,-1.64,8.0,80.0,16.0
Wang Xianjun,Tianjin Tigers,ZAGUEIRO,CHN,-0.58,-1.19,0.88,33.0,20.0,78.0
Gu Cao,Henan Songshan Longmen,ZAGUEIRO,CHN,-0.02,1.41,-1.53,52.0,83.0,20.0
Y. Fan,Chengdu Rongcheng,ZAGUEIRO,CHN,-0.25,1.59,-2.07,42.0,91.0,6.0
J. Okore,Changchun Yatai,ZAGUEIRO,CHN,1.26,2.07,2.71,92.0,94.0,95.0
A. Andrejević,Chongqing Tongliang Long,ZAGUEIRO,CHN,0.33,1.54,0.01,59.0,88.0,55.0
Jadson,Shandong Taishan,ZAGUEIRO,CHN,-1.04,1.58,-2.61,14.0,89.0,5.0
Bressan,OFI,ZAGUEIRO,CHN,0.61,2.88,-1.0,62.0,98.0,31.0
Liu Yiming,Wuhan Three Towns,ZAGUEIRO,CHN,1.23,-0.8,-0.47,91.0,33.0,39.0
T. Šunjić,Zrinjski,ZAGUEIRO,CHN,0.67,2.55,-1.52,66.0,97.0,22.0
Yang Shuai,Chengdu Rongcheng,ZAGUEIRO,CHN,-0.54,-0.68,0.85,34.0,38.0,75.0
Sun Zheng'ao,Zhejiang Professional,ZAGUEIRO,CHN,0.87,-1.55,-2.03,77.0,11.0,9.0
Ren Hang,Wuhan Three Towns,ZAGUEIRO,CHN,-0.02,0.77,-0.38,55.0,72.0,41.0
Li Ang,Shanghai Port,ZAGUEIRO,CHN,-0.97,-1.38,0.18,19.0,17.0,59.0
Yang Yun,Cangzhou Mighty Lions,ZAGUEIRO,CHN,-0.13,0.87,-0.7,48.0,78.0,33.0
Zhang Linpeng,Shanghai Port,ZAGUEIRO,CHN,1.14,-0.07,1.96,86.0,50.0,89.0
Park Ji-Soo,Wuhan Three Towns,ZAGUEIRO,CHN,-0.14,0.26,1.36,47.0,58.0,83.0
Yang Yiming,Chengdu Rongcheng,ZAGUEIRO,CHN,1.18,1.85,-0.17,89.0,92.0,47.0
Li Songyi,Henan Songshan Longmen,ZAGUEIRO,CHN,-1.69,-1.14,0.87,6.0,23.0,77.0
Zheng Zheng,Shandong Taishan,ZAGUEIRO,CHN,-1.94,-0.88,-0.15,3.0,31.0,48.0
Shi Ke,Shandong Taishan,ZAGUEIRO,CHN,-1.08,-1.4,1.26,12.0,16.0,81.0
Liu Wei,Nantong Zhiyun,ZAGUEIRO,CHN,-0.99,-1.46,1.79,17.0,14.0,84.0
Hu Ruibao,Chengdu Rongcheng,ZAGUEIRO,CHN,-0.26,-1.8,0.78,41.0,9.0,73.0
M. Skoric,Tianjin Tigers,ZAGUEIRO,CHN,1.09,0.85,-0.14,83.0,75.0,50.0
Leung Nok Hang,Zhejiang Professional,ZAGUEIRO,CHN,0.85,-2.16,-0.21,73.0,3.0,45.0
Lucas Possignolo,Zhejiang Professional,ZAGUEIRO,CHN,-0.26,0.7,3.03,39.0,70.0,98.0
Liao Junjian,Meizhou Hakka,ZAGUEIRO,CHN,1.12,0.45,1.89,84.0,62.0,88.0
Zheng Kaimu,Cangzhou Mighty Lions,ZAGUEIRO,CHN,-2.39,0.35,-2.07,2.0,59.0,8.0
Han Pengfei,Tianjin Tigers,ZAGUEIRO,CHN,0.96,-0.92,0.2,80.0,27.0,61.0
Zhu Chenjie,Shanghai Shenhua,ZAGUEIRO,CHN,-0.61,-1.49,0.33,31.0,12.0,67.0
Yuan Mincheng,Changchun Yatai,ZAGUEIRO,CHN,-1.71,-0.53,-1.6,5.0,42.0,17.0
Jiang Shenglong,Shanghai Shenhua,ZAGUEIRO,CHN,-0.18,-1.36,-0.24,45.0,19.0,44.0
Liu Junshuai,Qingdao Hainiu,ZAGUEIRO,CHN,-0.02,1.42,-0.02,53.0,84.0,53.0
T. Browning,Shanghai Port,ZAGUEIRO,CHN,0.88,-0.78,-1.13,78.0,34.0,28.0
Wang Peng,Cangzhou Mighty Lions,ZAGUEIRO,CHN,-0.02,-0.52,1.21,56.0,44.0,80.0
R. Dugalic, Shenzhen Peng City,ZAGUEIRO,CHN,1.41,1.5,0.23,97.0,86.0,64.0
M. Ngadeu-Ngadjui,Beijing Guoan,ZAGUEIRO,CHN,1.62,-0.52,2.27,98.0,45.0,92.0
G. Del Castillo,Estudiantes de Mérida,ZAGUEIRO,COL,-1.9,1.79,1.45,7.0,86.0,83.0
A. Moralez,Fortaleza,ZAGUEIRO,COL,-0.12,-1.28,3.13,42.0,20.0,95.0
Y. Díaz,Fortaleza,ZAGUEIRO,COL,0.74,0.78,3.23,75.0,75.0,98.0
D. Rivera,Fortaleza,ZAGUEIRO,COL,0.82,0.26,0.75,79.0,64.0,77.0
G. Mera,Cienciano,ZAGUEIRO,COL,0.03,1.01,-2.95,52.0,77.0,1.0
J. Quiñónes,Tolima,ZAGUEIRO,COL,-1.6,-1.77,-1.93,8.0,8.0,7.0
Y. González,Jaguares de Córdoba,ZAGUEIRO,COL,-0.54,0.43,-0.02,26.0,69.0,57.0
J. Palacios,América de Cali,ZAGUEIRO,COL,-0.04,2.08,-1.05,46.0,89.0,27.0
B. Agrón,La Equidad,ZAGUEIRO,COL,-0.32,-1.16,-1.23,32.0,25.0,23.0
A. Bedoya,El Nacional,ZAGUEIRO,COL,-0.23,-1.37,-1.1,37.0,15.0,26.0
Y. Murillo,Once Caldas,ZAGUEIRO,COL,-0.43,0.06,-1.43,29.0,60.0,14.0
L. Payares,Patriotas Boyacá,ZAGUEIRO,COL,-1.27,-0.72,0.24,14.0,33.0,64.0
J. Quintero,Vila Nova,ZAGUEIRO,COL,1.03,-1.22,-1.15,83.0,24.0,25.0
A. Alarcón,Patriotas Boyacá,ZAGUEIRO,COL,0.2,-1.35,-1.33,60.0,18.0,18.0
A. Moreno,Millonarios,ZAGUEIRO,COL,-0.56,-1.27,-1.31,25.0,21.0,19.0
A. Correa,Unión Magdalena,ZAGUEIRO,COL,0.18,-0.72,-0.47,58.0,35.0,44.0
J. Guevara,Fortaleza,ZAGUEIRO,COL,3.15,3.59,-0.76,100.0,98.0,32.0
C. Romaña,Atlético Bucaramanga,ZAGUEIRO,COL,0.82,-1.5,-0.36,77.0,13.0,48.0
F. Rodríguez,Atlético Huila,ZAGUEIRO,COL,-0.26,-1.04,-1.66,35.0,27.0,11.0
B. Ceballos,Junior,ZAGUEIRO,COL,1.28,1.19,-0.48,93.0,80.0,43.0
Yilson Mosquera,Envigado,ZAGUEIRO,COL,-1.35,-0.44,-2.92,13.0,43.0,2.0
A. Ariza,Atlético Huila,ZAGUEIRO,COL,1.7,2.14,0.86,98.0,93.0,79.0
E. Mosquera,Municipal Liberia,ZAGUEIRO,COL,-0.17,-0.08,-0.55,39.0,51.0,39.0
F. Meza,Deportivo Cali,ZAGUEIRO,COL,1.05,-0.59,-1.31,85.0,39.0,20.0
L. Caicedo,Deportivo Garcilaso,ZAGUEIRO,COL,-1.94,2.11,-0.3,5.0,92.0,49.0
J. Rios,Fortaleza,ZAGUEIRO,COL,1.12,-1.74,0.63,88.0,10.0,74.0
C. Ramírez,Unión Comercio,ZAGUEIRO,COL,1.65,-1.56,3.17,96.0,12.0,96.0
J. Mera,Tolima,ZAGUEIRO,COL,0.56,-1.65,0.18,71.0,11.0,63.0
R. Lora,Macará,ZAGUEIRO,COL,-1.37,-0.31,-0.45,12.0,45.0,45.0
L. Haquín,Ponte Preta,ZAGUEIRO,COL,-0.71,-1.0,-0.25,20.0,29.0,50.0
J. Castaño,Boyacá Chicó,ZAGUEIRO,COL,-0.81,2.72,-0.67,17.0,96.0,35.0
C. Páez,Jaguares de Córdoba,ZAGUEIRO,COL,-0.02,1.97,0.29,50.0,87.0,65.0
S. Mosquera,Atlético Nacional,ZAGUEIRO,COL,-0.7,-1.33,-0.66,21.0,19.0,36.0
D. Hernández,Santa Fe,ZAGUEIRO,COL,1.13,3.8,1.84,90.0,100.0,89.0
B. Carabalí,Deportivo Pasto,ZAGUEIRO,COL,0.01,0.78,0.04,51.0,74.0,60.0
S. Noreña,Envigado,ZAGUEIRO,COL,-0.8,-1.84,-1.64,18.0,7.0,12.0
J. Anaya,Jaguares de Córdoba,ZAGUEIRO,COL,0.32,0.11,-0.4,65.0,62.0,46.0
A. Simarra,Alianza,ZAGUEIRO,COL,-1.4,-0.82,1.79,10.0,31.0,88.0
A. Angulo,Tolima,ZAGUEIRO,COL,1.1,-0.65,-1.4,87.0,37.0,15.0
M. Rodas,Patriotas Boyacá,ZAGUEIRO,COL,0.89,1.05,2.05,81.0,79.0,92.0
V. Moreno,Águilas Doradas,ZAGUEIRO,COL,0.64,-0.29,-0.53,73.0,46.0,40.0
J. García,América de Cali,ZAGUEIRO,COL,-0.4,-3.33,0.02,31.0,1.0,58.0
D. Bocanegra,América de Cali,ZAGUEIRO,COL,-0.11,0.8,6.77,44.0,76.0,100.0
J. Aja,Medellín,ZAGUEIRO,COL,0.32,-0.58,-0.98,64.0,40.0,29.0
B. Montaño,Deportivo Cali,ZAGUEIRO,COL,-1.14,-3.25,-0.84,15.0,2.0,30.0
I. Scarpeta,Santa Fe,ZAGUEIRO,COL,-0.28,0.02,0.36,33.0,55.0,70.0
J. Arias,Atlético Nacional,ZAGUEIRO,COL,-0.06,2.32,0.31,45.0,95.0,67.0
F. Torijano,Medellín,ZAGUEIRO,COL,1.12,-0.73,1.24,89.0,32.0,82.0
C. Garcés,Los Angeles Galaxy,ZAGUEIRO,COL,-0.41,2.26,-0.09,30.0,94.0,55.0
S. Palacios,Once Caldas,ZAGUEIRO,COL,-0.03,0.04,-2.34,49.0,56.0,4.0
M. Ortíz,Santa Fe,ZAGUEIRO,COL,0.34,-1.36,0.89,67.0,17.0,80.0
E. Mosquera,Achuapa,ZAGUEIRO,COL,0.8,0.05,-1.38,76.0,57.0,17.0
C. Zapata,Vitória,ZAGUEIRO,COL,-2.27,0.01,-1.21,4.0,54.0,24.0
J. Palacios,Medellín,ZAGUEIRO,COL,0.24,0.32,-1.29,62.0,65.0,21.0
J. Riquett,Once Caldas,ZAGUEIRO,COL,-0.22,2.01,-0.81,38.0,88.0,31.0
K. Andrade,Baltika,ZAGUEIRO,COL,1.6,0.14,1.5,95.0,63.0,86.0
J. Cuenú,Águilas Doradas,ZAGUEIRO,COL,-0.67,-0.6,-1.71,23.0,38.0,10.0
J. Figueroa,Alianza,ZAGUEIRO,COL,-1.37,0.06,0.07,11.0,58.0,61.0
C. Henao,Atlético Bucaramanga,ZAGUEIRO,COL,-2.74,-1.46,-0.76,1.0,14.0,33.0
J. Palacios,Envigado,ZAGUEIRO,COL,-0.04,-0.12,-0.6,48.0,50.0,37.0
N. Gil,Deportivo Pasto,ZAGUEIRO,COL,0.74,3.75,0.12,74.0,99.0,62.0
L. Escorcia,Jaguares de Córdoba,ZAGUEIRO,COL,0.26,0.49,-0.13,63.0,70.0,52.0
D. Polanco,La Equidad,ZAGUEIRO,COL,0.36,-0.82,-0.18,68.0,30.0,51.0
C. Haydar,Tolima,ZAGUEIRO,COL,0.07,1.21,1.66,54.0,81.0,87.0
J. Díaz,Deportivo Cali,ZAGUEIRO,COL,-0.51,2.1,2.15,27.0,90.0,93.0
J. Arias,Millonarios,ZAGUEIRO,COL,1.97,0.38,5.05,99.0,68.0,99.0
M. Torres,Tolima,ZAGUEIRO,COL,-0.16,-1.25,-1.44,40.0,23.0,13.0
L. Ospina,Alianza,ZAGUEIRO,COL,-0.77,-0.41,-1.86,19.0,44.0,8.0
A. Cadavid,Envigado,ZAGUEIRO,COL,0.51,0.07,-2.12,70.0,61.0,5.0
J. Varela,Águilas Doradas,ZAGUEIRO,COL,0.08,-1.9,0.71,55.0,5.0,76.0
J. Malagón,Deportivo Pasto,ZAGUEIRO,COL,-0.61,0.32,0.34,24.0,67.0,68.0
J. Quiñónes,Águilas Doradas,ZAGUEIRO,COL,1.05,-0.03,-0.12,86.0,52.0,54.0
M. Payares,La Equidad,ZAGUEIRO,COL,0.23,1.39,0.38,61.0,83.0,71.0
J. Millán,Santa Fe,ZAGUEIRO,COL,0.92,1.29,0.36,82.0,82.0,69.0
J. Peña,Junior,ZAGUEIRO,COL,0.46,-0.48,1.5,69.0,42.0,85.0
J. Ortiz,Medellín,ZAGUEIRO,COL,1.31,-0.19,0.47,94.0,48.0,73.0
J. Aguirre,Atlético Nacional,ZAGUEIRO,COL,-0.12,-1.06,-0.51,43.0,26.0,42.0
J. Mena,Atlético Bucaramanga,ZAGUEIRO,COL,-1.92,0.62,-2.09,6.0,71.0,6.0
J. Vargas,Millonarios,ZAGUEIRO,COL,-0.25,1.71,1.16,36.0,85.0,81.0
E. Olivera,Junior,ZAGUEIRO,COL,0.86,-0.14,-0.04,80.0,49.0,56.0
P. Franco,Alianza,ZAGUEIRO,COL,0.16,-0.66,1.89,57.0,36.0,90.0
A. Llinás,Millonarios,ZAGUEIRO,COL,1.18,0.69,0.63,92.0,73.0,75.0
H. Plazas,Boyacá Chicó,ZAGUEIRO,COL,0.11,-1.86,2.17,56.0,6.0,94.0
J. Pestaña,Deportivo Pereira,ZAGUEIRO,COL,-2.48,-1.98,-0.59,2.0,4.0,38.0
B. Hernandez,Cartaginés,ZAGUEIRO,CRC,-0.36,-0.17,0.45,35.0,51.0,65.0
A. Cabral,San Carlos,ZAGUEIRO,CRC,-0.18,2.12,-0.7,43.0,96.0,35.0
L. Galtier,Municipal Grecia,ZAGUEIRO,CRC,-1.21,3.55,-3.31,18.0,100.0,2.0
G. Montes,Herediano,ZAGUEIRO,CRC,-0.23,-0.62,-1.91,37.0,33.0,8.0
J. Pérez,Alajuelense,ZAGUEIRO,CRC,0.08,0.39,0.2,59.0,73.0,59.0
Á. Aguilar,Municipal Liberia,ZAGUEIRO,CRC,1.35,0.29,3.4,90.0,65.0,98.0
J. Mitchell,Alajuelense,ZAGUEIRO,CRC,0.46,0.3,-1.22,67.0,67.0,24.0
D. Castillo,Sporting FC,ZAGUEIRO,CRC,-0.18,-3.57,-0.74,45.0,2.0,33.0
R. Smith,Guanacasteca,ZAGUEIRO,CRC,0.37,2.12,-3.08,63.0,98.0,4.0
Y. Piedra,San Carlos,ZAGUEIRO,CRC,1.02,1.16,0.08,82.0,84.0,51.0
J. Medina,Puntarenas,ZAGUEIRO,CRC,0.48,0.33,1.27,71.0,69.0,84.0
M. James,Alajuelense,ZAGUEIRO,CRC,2.29,-0.16,-1.39,100.0,53.0,20.0
G. Villalobos,Alajuelense,ZAGUEIRO,CRC,1.74,1.21,1.28,98.0,86.0,86.0
K. Gutiérrez,Municipal Grecia,ZAGUEIRO,CRC,-0.43,-1.19,0.04,33.0,12.0,49.0
S. Rodríguez,Guanacasteca,ZAGUEIRO,CRC,-1.25,-1.81,2.03,16.0,4.0,92.0
E. Mosquera,Municipal Liberia,ZAGUEIRO,CRC,-0.89,-1.36,0.54,24.0,10.0,67.0
M. Meneses,Municipal Grecia,ZAGUEIRO,CRC,-1.55,0.01,-1.26,8.0,55.0,22.0
J. Huertas,Municipal Liberia,ZAGUEIRO,CRC,-0.19,0.27,-0.84,41.0,61.0,31.0
J. Sanchez,Puntarenas,ZAGUEIRO,CRC,-1.32,-0.17,-0.35,14.0,49.0,41.0
K. Waston,Deportivo Saprissa,ZAGUEIRO,CRC,1.26,-0.79,0.16,84.0,25.0,57.0
A. Climaco,Santos de Guápiles,ZAGUEIRO,CRC,-0.93,0.59,0.72,22.0,76.0,69.0
K. Fajardo,Pérez Zeledón,ZAGUEIRO,CRC,-1.46,-0.8,1.33,10.0,24.0,88.0
A. Gibbons,Puntarenas,ZAGUEIRO,CRC,-0.11,-0.87,-1.8,49.0,20.0,12.0
D. Sequeira,Deportivo Saprissa,ZAGUEIRO,CRC,0.58,-0.86,-0.16,75.0,22.0,47.0
L. Hernández,Sporting FC,ZAGUEIRO,CRC,-1.4,-1.73,-1.11,12.0,6.0,25.0
A. Soto,Sporting FC,ZAGUEIRO,CRC,1.72,-0.58,0.4,94.0,35.0,63.0
W. Fernández,Pérez Zeledón,ZAGUEIRO,CRC,0.48,-0.64,1.23,69.0,31.0,82.0
J. Aguirre,Pérez Zeledón,ZAGUEIRO,CRC,-0.5,-0.44,-0.25,31.0,43.0,43.0
J. Rosales,Municipal Liberia,ZAGUEIRO,CRC,0.63,0.45,0.79,78.0,75.0,73.0
E. Anderson,Deportivo Saprissa,ZAGUEIRO,CRC,1.67,1.82,0.13,92.0,92.0,53.0
J. Peraza,San Carlos,ZAGUEIRO,CRC,0.52,2.1,-1.5,73.0,94.0,18.0
J. Vargas,Cartaginés,ZAGUEIRO,CRC,1.73,1.44,2.57,96.0,88.0,94.0
K. Espinoza,Cartaginés,ZAGUEIRO,CRC,1.27,-0.27,0.93,86.0,47.0,76.0
P. Arboine,Deportivo Saprissa,ZAGUEIRO,CRC,-0.5,-0.74,-1.08,29.0,27.0,29.0
J. Ordain,Santos de Guápiles,ZAGUEIRO,CRC,-0.15,0.29,-1.8,47.0,63.0,14.0
J. Leiva,Puntarenas,ZAGUEIRO,CRC,0.42,1.11,0.93,65.0,82.0,75.0
F. Faerrón,Herediano,ZAGUEIRO,CRC,-0.02,-1.43,0.14,53.0,8.0,55.0
R. Cordero,Puntarenas,ZAGUEIRO,CRC,-0.72,0.13,0.75,27.0,57.0,71.0
J. Hernández,Guanacasteca,ZAGUEIRO,CRC,-1.69,-0.73,-1.82,6.0,29.0,10.0
J. Madrigal,Santos de Guápiles,ZAGUEIRO,CRC,0.59,-0.46,1.1,76.0,41.0,78.0
A. David,Cartaginés,ZAGUEIRO,CRC,-0.08,-1.03,-0.69,51.0,14.0,37.0
A. Gamboa,Alajuelense,ZAGUEIRO,CRC,-0.74,0.24,1.18,25.0,59.0,80.0
G. González,Sporting FC,ZAGUEIRO,CRC,0.96,-1.02,-0.22,80.0,16.0,45.0
O. Linton,Santos de Guápiles,ZAGUEIRO,CRC,0.23,0.98,-1.11,61.0,80.0,27.0
C. Reyes,Municipal Liberia,ZAGUEIRO,CRC,0.02,1.66,1.35,55.0,90.0,90.0
P. Leal,Guanacasteca,ZAGUEIRO,CRC,-1.73,-0.89,2.58,4.0,18.0,96.0
Y. Molina,Guanacasteca,ZAGUEIRO,CRC,-2.15,0.36,-1.72,2.0,71.0,16.0
E. Rubio,Herediano,ZAGUEIRO,CRC,0.05,-0.49,0.2,57.0,37.0,61.0
F. Escobar,Deportivo Saprissa,ZAGUEIRO,CRC,1.32,-0.41,5.52,88.0,45.0,100.0
R. Noya,Municipal Grecia,ZAGUEIRO,CRC,-1.06,0.78,-2.8,20.0,78.0,6.0
J. Agüero,Municipal Grecia,ZAGUEIRO,CRC,-0.22,-0.47,-0.45,39.0,39.0,39.0
I. Iovu,Istra 1961,ZAGUEIRO,CRO,-0.28,3.14,-0.19,35.0,100.0,44.0
J. Bašić,Zorya,ZAGUEIRO,CRO,2.05,0.37,0.33,100.0,59.0,68.0
D. Perić,Dinamo Zagreb,ZAGUEIRO,CRO,0.62,-0.63,2.38,79.0,41.0,97.0
V. Medimorec,Slaven Belupo,ZAGUEIRO,CRO,-0.14,0.85,-1.9,41.0,79.0,15.0
M. Prekodravac,Osijek,ZAGUEIRO,CRO,-2.35,-1.35,-2.2,3.0,9.0,9.0
I. Nekić,Varaždin,ZAGUEIRO,CRO,0.43,1.51,1.72,65.0,88.0,91.0
M. Matić,Široki Brijeg,ZAGUEIRO,CRO,0.46,0.71,2.18,68.0,71.0,94.0
T. Mrčela,Rudeš,ZAGUEIRO,CRO,-1.92,-1.11,-1.15,9.0,21.0,24.0
A. Camara,Rudeš,ZAGUEIRO,CRO,0.4,1.99,-0.1,59.0,97.0,50.0
B. Pllana,Slaven Belupo,ZAGUEIRO,CRO,1.11,0.97,-3.08,88.0,82.0,3.0
J. Pëllumbi,Debrecen,ZAGUEIRO,CRO,-1.43,0.8,-1.13,15.0,76.0,29.0
M. Bernauer,Dinamo Zagreb,ZAGUEIRO,CRO,-0.24,-1.32,1.23,38.0,15.0,82.0
M. Pavlović,Rudeš,ZAGUEIRO,CRO,-1.08,-1.71,0.01,18.0,6.0,53.0
M. Živković,Dinamo Zagreb,ZAGUEIRO,CRO,1.54,-0.05,-0.76,91.0,56.0,35.0
S. Radeljić,Rijeka,ZAGUEIRO,CRO,-0.97,0.54,1.07,24.0,65.0,76.0
E. Dilaver,Rijeka,ZAGUEIRO,CRO,0.42,-2.32,1.45,62.0,3.0,85.0
L. Ba,Varaždin,ZAGUEIRO,CRO,-2.26,-1.05,-1.98,6.0,26.0,12.0
M. Leš,Gorica,ZAGUEIRO,CRO,0.08,0.56,-1.01,44.0,68.0,32.0
T. Božić,Slaven Belupo,ZAGUEIRO,CRO,-0.5,-0.92,-1.6,29.0,32.0,18.0
B. Kalaica,Lokomotiva Zagreb,ZAGUEIRO,CRO,0.32,0.79,-0.26,56.0,74.0,41.0
K. Theophile-Catherine,Dinamo Zagreb,ZAGUEIRO,CRO,1.64,-0.66,1.06,94.0,38.0,74.0
M. Mitrović,Rijeka,ZAGUEIRO,CRO,0.53,-1.03,0.34,74.0,29.0,71.0
F. Uremović,Hajduk Split,ZAGUEIRO,CRO,0.14,-0.25,1.5,53.0,50.0,88.0
N. Galešić,Rijeka,ZAGUEIRO,CRO,-0.45,-1.34,-0.14,32.0,12.0,47.0
S. Bralić,Osijek,ZAGUEIRO,CRO,2.01,1.75,0.01,97.0,91.0,56.0
K. Krizmanić,Gorica,ZAGUEIRO,CRO,-0.98,-0.35,-1.2,21.0,47.0,21.0
Z. Šarlija,Hajduk Split,ZAGUEIRO,CRO,0.76,-1.11,-0.27,82.0,18.0,38.0
M. Boras,Slaven Belupo,ZAGUEIRO,CRO,0.1,1.5,1.16,47.0,85.0,79.0
L. Jelenić,Varaždin,ZAGUEIRO,CRO,-1.49,-0.6,0.03,12.0,44.0,59.0
André Duarte,Osijek,ZAGUEIRO,CRO,0.47,-0.23,0.08,71.0,53.0,62.0
D. Maresić,Istra 1961,ZAGUEIRO,CRO,0.13,0.41,5.58,50.0,62.0,100.0
A. Majstorović,Istra 1961,ZAGUEIRO,CRO,1.11,-0.73,-1.13,85.0,35.0,26.0
M. Maloča,Gorica,ZAGUEIRO,CRO,-0.82,-1.05,-2.27,26.0,24.0,6.0
J. Mersinaj,Lokomotiva Zagreb,ZAGUEIRO,CRO,0.62,1.93,0.27,76.0,94.0,65.0
M. Frydrych,Baník Ostrava,ZAGUEIRO,CZH,1.26,0.63,1.22,90.0,71.0,82.0
I. Iovu,Istra 1961,ZAGUEIRO,CZH,-1.0,2.37,-0.98,18.0,96.0,27.0
J. Bašić,Zorya,ZAGUEIRO,CZH,1.1,-0.57,-0.88,86.0,31.0,36.0
F. Novák,Sigma Olomouc,ZAGUEIRO,CZH,0.62,0.12,-0.37,67.0,57.0,47.0
F. Čech,Hradec Králové,ZAGUEIRO,CZH,-0.82,2.12,-1.82,26.0,94.0,11.0
D. Donát,Pardubice,ZAGUEIRO,CZH,0.24,-1.47,-2.7,55.0,13.0,2.0
D. Perić,Dinamo Zagreb,ZAGUEIRO,CZH,0.41,-1.08,3.26,58.0,19.0,97.0
V. Medimorec,Slaven Belupo,ZAGUEIRO,CZH,-1.75,0.11,-1.83,8.0,56.0,9.0
M. Prekodravac,Osijek,ZAGUEIRO,CZH,-2.02,-1.69,-2.61,5.0,8.0,3.0
D. Zima,Slavia Praha,ZAGUEIRO,CZH,0.52,-0.41,0.61,65.0,40.0,64.0
I. Nekić,Varaždin,ZAGUEIRO,CZH,-0.02,1.11,1.15,47.0,83.0,80.0
L. Masopust,Slavia Praha,ZAGUEIRO,CZH,0.63,1.94,1.61,68.0,93.0,87.0
A. Traoré,Karviná,ZAGUEIRO,CZH,0.86,2.26,-0.68,79.0,95.0,42.0
J. Bořil,Slavia Praha,ZAGUEIRO,CZH,-1.52,-2.67,0.77,10.0,3.0,75.0
K. Spáčil,Hradec Králové,ZAGUEIRO,CZH,0.47,-0.75,-0.24,61.0,28.0,50.0
D. Bergqvist,Karviná,ZAGUEIRO,CZH,-0.28,-1.58,-2.51,40.0,12.0,4.0
O. Kukučka,Pardubice,ZAGUEIRO,CZH,-0.19,0.26,-1.6,42.0,62.0,13.0
T. Král,Mladá Boleslav,ZAGUEIRO,CZH,0.38,-0.99,-1.54,57.0,23.0,16.0
J. Bederka,Karviná,ZAGUEIRO,CZH,-0.56,0.93,-0.91,31.0,80.0,33.0
M. Matić,Široki Brijeg,ZAGUEIRO,CZH,0.72,0.36,2.6,71.0,64.0,92.0
T. Mrčela,Rudeš,ZAGUEIRO,CZH,-0.89,-1.02,-1.27,22.0,21.0,22.0
A. Camara,Rudeš,ZAGUEIRO,CZH,0.16,1.79,-0.61,52.0,92.0,45.0
