Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Construção,Ataque,Último passe,Ameaça Ofensiva,Drible,Participação_percentil,Defesa_percentil,Construção_percentil,Ataque_percentil,Último passe_percentil,Ameaça ofensiva_percentil,Drible_percentil
M. Soula,Cherno More,MEIO-CAMPO,BUL,-1.12,-1.18,0.67,1.89,3.84,1.88,2.47,25,25,71,92,96,83,97
A. Toungara,Arda,MEIO-CAMPO,BUL,-1.92,-1.49,-0.63,-0.08,1.54,2.34,1.17,7,14,43,54,84,87,91
J. Lindseth,CSKA Sofia,MEIO-CAMPO,BUL,-0.29,0.29,0.72,0.98,1.94,1.74,-0.7,46,63,72,75,86,80,30
G. Ivanov,Slavia Sofia,MEIO-CAMPO,BUL,-1.48,-2.2,-0.82,-0.09,2.76,3.33,1.18,16,4,41,53,89,93,92
I. Vásquez,Magallanes,MEIO-CAMPO,CHI,-0.41,-1.06,-0.16,-0.87,-1.58,-2.17,-1.18,30,23,45,32,19,1,7
R. Cecchini,Unión Española,MEIO-CAMPO,CHI,0.0,0.91,-1.37,-1.7,-2.43,-1.98,-1.28,41,75,20,12,1,9,3
M. Medel,Copiapó,MEIO-CAMPO,CHI,0.57,-0.11,3.17,2.58,-0.48,-1.84,-0.81,70,52,97,97,46,17,22
N. Sepúlveda,Cobresal,MEIO-CAMPO,CHI,1.6,0.58,0.6,0.35,0.69,-0.14,-0.36,90,71,70,62,70,57,48
V. Pizarro,Colo Colo,MEIO-CAMPO,CHI,0.44,0.48,1.11,0.41,-0.24,0.12,-0.39,58,64,78,65,52,65,45
S. Leyton,Unión Española,MEIO-CAMPO,CHI,1.75,1.81,0.22,-0.14,-1.89,-1.92,-0.57,91,88,64,49,13,12,30
A. Canales,Magallanes,MEIO-CAMPO,CHI,0.72,-1.12,-0.03,0.21,-2.1,0.0,-0.06,77,22,52,58,6,62,61
E. Ojeda,Universidad de Chile,MEIO-CAMPO,CHI,0.65,2.4,0.12,-0.84,-1.33,-2.05,-0.03,72,96,59,33,22,6,62
M. Sandoval,Curicó Unido,MEIO-CAMPO,CHI,2.34,1.97,3.27,1.9,-1.29,-1.44,-0.43,97,94,99,93,25,30,42
E. Valencia,Unión La Calera,MEIO-CAMPO,CHI,-0.95,0.97,-0.85,-0.97,-1.75,-1.76,-0.92,23,80,35,29,17,19,17
I. Núñez,Unión Española,MEIO-CAMPO,CHI,0.01,0.05,-1.4,-1.04,0.5,-0.6,-0.59,43,55,19,23,65,49,29
A. Nadruz,Curicó Unido,MEIO-CAMPO,CHI,1.15,1.94,-1.58,-2.13,-2.36,-1.62,-0.88,87,93,13,6,3,26,20
L. Reyes,Ñublense,MEIO-CAMPO,CHI,0.52,-0.76,-0.79,-1.41,-2.06,-1.23,-0.36,65,30,36,14,7,35,46
C. Sepúlveda,Huachipato,MEIO-CAMPO,CHI,2.14,1.19,1.72,0.1,-1.33,-1.89,-0.57,96,83,88,55,23,14,32
E. Pavez,Colo Colo,MEIO-CAMPO,CHI,-0.74,1.11,1.86,0.87,-1.55,-1.31,-1.04,26,81,90,77,20,32,12
A. Farías,Palestino,MEIO-CAMPO,CHI,1.3,1.77,0.14,-0.82,-1.77,-0.84,-0.29,88,86,61,35,16,41,52
I. Saavedra,Universidad Católica,MEIO-CAMPO,CHI,1.0,0.57,-0.05,-0.41,-2.01,-2.1,-0.63,83,70,51,42,10,3,26
A. Martínez,Palestino,MEIO-CAMPO,CHI,-1.19,-0.06,-0.03,0.44,0.5,-0.51,0.35,22,54,54,68,64,51,74
A. Max,Unión La Calera,MEIO-CAMPO,CHI,-1.36,3.05,-2.62,-1.83,-1.26,-1.71,-0.96,16,99,3,9,28,20,16
V. Larralde,O'Higgins,MEIO-CAMPO,CHI,0.67,-0.77,0.06,1.18,0.24,-2.07,-0.47,74,29,57,81,61,4,36
B. Garrido,Unión La Calera,MEIO-CAMPO,CHI,-0.07,0.48,1.34,1.55,0.82,-1.64,0.99,39,67,81,87,74,25,84
J. Henríquez,Curicó Unido,MEIO-CAMPO,CHI,0.57,-0.77,0.24,0.45,0.16,-0.97,0.49,68,28,65,70,59,38,77
L. Cabrera,Copiapó,MEIO-CAMPO,CHI,-1.99,-1.85,-1.1,-1.66,-0.71,-1.89,-1.37,9,13,26,13,42,14,1
C. Mesías,Cobresal,MEIO-CAMPO,CHI,0.25,0.95,-1.51,-1.73,-0.11,0.76,-0.63,51,78,16,10,54,71,28
D. Fernández,O'Higgins,MEIO-CAMPO,CHI,-1.44,-0.69,-1.83,-1.05,-0.83,0.47,-0.91,13,35,12,22,41,70,19
J. Abrigo,Palestino,MEIO-CAMPO,CHI,-1.25,-1.74,-0.96,-0.37,1.64,3.25,1.36,20,16,30,43,86,94,90
M. Collao,Audax Italiano,MEIO-CAMPO,CHI,0.85,1.8,-0.1,-0.9,-0.92,-0.3,-0.71,80,87,49,30,38,55,25
C. Pinares,Universidad Católica,MEIO-CAMPO,CHI,-0.31,-1.74,0.06,0.31,1.24,-0.02,-0.08,33,17,55,61,80,61,59
M. Rivera,Ñublense,MEIO-CAMPO,CHI,0.39,0.27,-0.88,-0.46,-0.63,-1.67,-0.48,55,58,32,41,45,22,35
B. Rovira,Universidad Católica,MEIO-CAMPO,CHI,-0.41,-0.22,-0.86,-1.03,0.87,-1.85,-1.25,29,48,33,25,75,16,6
M. Díaz,Audax Italiano,MEIO-CAMPO,CHI,-1.33,-2.53,0.72,-0.53,-0.93,-2.05,-1.26,17,4,72,38,35,7,4
F. Mateos,Universidad de Chile,MEIO-CAMPO,CHI,-0.58,0.53,-1.11,-1.02,-0.31,-0.1,-0.73,28,68,25,28,49,58,23
C. Moya,O'Higgins,MEIO-CAMPO,CHI,0.01,0.42,0.17,-0.24,-1.24,-1.66,-0.15,42,59,62,45,29,23,55
F. Juárez,Audax Italiano,MEIO-CAMPO,CHI,0.99,2.99,0.1,0.73,-1.87,-1.52,-0.46,81,97,58,74,14,29,38
F. Cornejo,Palestino,MEIO-CAMPO,CHI,-0.75,-0.35,-2.72,-2.14,0.13,3.1,-0.45,25,43,1,4,58,93,39
P. Hernández,O'Higgins,MEIO-CAMPO,CHI,0.05,-0.3,-0.98,-0.21,-1.04,-0.82,0.19,45,45,28,46,33,42,68
M. Sepúlveda,Audax Italiano,MEIO-CAMPO,CHI,-0.38,-0.53,-0.62,0.78,0.52,0.12,1.06,32,41,41,75,67,64,86
Y. Leiva,Curicó Unido,MEIO-CAMPO,CHI,0.51,-0.18,1.41,1.48,-0.65,-0.04,-0.13,64,49,84,86,43,59,57
G. Montes,Huachipato,MEIO-CAMPO,CHI,2.39,-0.7,2.54,3.96,1.02,2.1,0.19,100,33,96,100,78,87,67
J. Leiva,Ñublense,MEIO-CAMPO,CHI,0.33,-0.36,-0.97,-1.36,-1.12,-0.75,0.18,52,42,29,16,32,46,65
C. Pérez,Unión La Calera,MEIO-CAMPO,CHI,0.36,-0.12,-0.51,0.17,0.75,1.68,0.23,54,51,42,57,72,80,70
I. Poblete,Universidad de Chile,MEIO-CAMPO,CHI,0.58,0.43,-1.25,-0.07,-0.28,-0.41,0.95,71,61,22,52,51,54,81
J. Martínez,Huachipato,MEIO-CAMPO,CHI,1.93,0.71,1.55,2.01,-0.02,-0.8,-0.2,93,72,86,96,55,43,54
T. Aránguiz,Magallanes,MEIO-CAMPO,CHI,1.06,-0.71,1.34,1.64,0.04,-1.31,-1.01,84,32,83,88,57,33,14
M. Dávila,Palestino,MEIO-CAMPO,CHI,-4.42,-1.51,-2.43,-2.42,-0.92,4.2,-1.11,1,19,4,1,36,97,9
S. Galani,Coquimbo Unido,MEIO-CAMPO,CHI,-0.11,1.31,-1.93,-1.95,-2.04,-1.95,-0.56,36,84,7,7,9,10,33
D. Glaby,Coquimbo Unido,MEIO-CAMPO,CHI,0.42,1.91,-1.22,-1.32,-1.28,-0.76,-1.03,57,91,23,17,26,45,13
J. Jaime,Copiapó,MEIO-CAMPO,CHI,0.46,5.48,-2.12,-2.18,-2.32,-1.17,-0.4,59,100,6,3,4,36,43
B. Berríos,Everton,MEIO-CAMPO,CHI,1.12,0.48,1.03,1.11,-0.44,-1.55,-0.36,86,65,77,80,48,28,51
Á. Madrid,Everton,MEIO-CAMPO,CHI,2.03,1.89,2.38,1.87,1.35,-0.48,0.32,94,90,93,91,83,52,72
A. Camargo,Cobresal,MEIO-CAMPO,CHI,0.09,-0.55,-0.42,-1.02,-1.96,0.26,-1.07,46,38,43,26,12,67,10
J. Cuevas,Everton,MEIO-CAMPO,CHI,0.16,-0.89,-0.69,1.26,3.12,1.92,2.35,49,25,38,83,91,84,96
C. Jorquera,Magallanes,MEIO-CAMPO,CHI,-0.09,-1.92,1.57,0.42,3.55,1.76,-0.36,38,12,87,67,97,81,49
L. Pastrán,Belgrano,MEIO-CAMPO,CHI,0.13,0.93,-1.51,-1.18,0.72,5.79,3.23,48,77,14,20,71,100,100
B. Carvallo,Unión Española,MEIO-CAMPO,CHI,0.7,-1.16,0.62,0.57,1.93,1.66,0.95,75,20,71,71,87,78,83
C. Villanueva,Magallanes,MEIO-CAMPO,CHI,0.76,0.45,1.29,1.91,3.17,1.95,-0.43,78,62,80,94,93,86,41
L. Assadi,Universidad de Chile,MEIO-CAMPO,CHI,-2.83,-2.72,-1.86,-1.22,-0.91,1.48,2.4,4,1,9,19,39,75,97
J. Flores,Curicó Unido,MEIO-CAMPO,CHI,-2.76,-2.15,-1.47,-0.15,0.39,2.41,0.6,6,7,17,48,62,90,78
L. Montes,Everton,MEIO-CAMPO,CHI,-0.17,0.19,2.04,1.41,3.35,0.42,-0.1,35,57,91,84,94,68,58
F. Castro,Curicó Unido,MEIO-CAMPO,CHI,-2.34,-2.15,-1.86,-0.09,1.28,4.04,0.28,7,9,10,51,81,96,71
C. Palacios,Colo Colo,MEIO-CAMPO,CHI,-1.25,-2.12,0.28,0.09,0.99,4.29,2.51,19,10,67,54,77,99,99
L. Gil,Colo Colo,MEIO-CAMPO,CHI,0.57,-0.61,2.4,1.84,3.38,1.32,0.16,67,36,94,90,96,74,64
J. Altamirano,Estudiantes,MEIO-CAMPO,CHI,2.35,-0.27,0.96,0.31,2.01,1.03,1.73,99,46,75,59,88,72,94
J. Luna,Copiapó,MEIO-CAMPO,CHI,-1.46,-2.59,4.86,3.65,4.72,-0.71,1.35,12,3,100,99,100,48,88
D. Buonanotte,Unión La Calera,MEIO-CAMPO,CHI,-3.02,-2.37,-0.14,-0.46,3.66,1.62,0.44,3,6,46,39,99,77,75
I. Rozas,Copiapó,MEIO-CAMPO,CHI,0.5,0.82,-0.14,0.63,-1.23,-0.89,0.63,61,74,48,72,30,39,80
A. Uribe,Unión Española,MEIO-CAMPO,CHI,0.51,-0.54,0.95,0.94,0.54,1.9,1.48,62,39,74,78,68,83,91
L. Valencia,Cobresal,MEIO-CAMPO,CHI,-1.9,-1.81,0.59,0.4,2.46,2.67,1.12,10,14,68,64,90,91,87
L. Cabral,Coquimbo Unido,MEIO-CAMPO,CHI,-1.36,-0.81,-0.64,-0.57,1.48,2.17,1.5,14,26,39,36,84,88,93
Huang Zhengyu,Shandong Taishan,MEIO-CAMPO,CHN,-0.26,1.38,-0.88,-0.7,0.17,-0.59,-0.14,44,90,37,45,69,51,58
Wang Yu,Dalian Pro,MEIO-CAMPO,CHN,-0.76,0.94,-1.56,-0.9,-1.78,-2.08,-0.74,30,79,17,37,10,6,20
Gu Bin,Zhejiang Professional,MEIO-CAMPO,CHN,-0.86,-2.46,0.85,2.45,2.35,-0.8,0.06,24,6,75,93,90,44,66
Chen Jie,Meizhou Hakka,MEIO-CAMPO,CHN,-0.63,0.37,-1.65,-1.53,-1.92,-2.03,-0.94,38,63,14,15,4,7,10
Huang Jiahui,Dalian Pro,MEIO-CAMPO,CHN,-1.87,0.49,-1.18,-1.86,-1.8,-1.82,-0.89,6,69,30,3,8,11,11
Zhang Jiaqi,Zhejiang Professional,MEIO-CAMPO,CHN,1.5,1.78,-0.39,-1.62,-1.46,0.21,-0.43,90,93,49,13,24,62,37
Guo Hao,Tianjin Tigers,MEIO-CAMPO,CHN,-1.64,-2.33,-0.16,-1.23,-1.71,-1.17,-0.96,8,8,56,27,14,30,6
Liao Lisheng,Shandong Taishan,MEIO-CAMPO,CHN,0.43,0.82,-0.52,-0.79,-0.63,0.68,-1.1,59,76,44,41,49,75,1
Cao Kang,Nantong Zhiyun,MEIO-CAMPO,CHN,0.48,2.7,-1.81,-1.72,-1.69,0.24,-1.04,65,96,11,10,17,65,3
Tian Yinong,Tianjin Tigers,MEIO-CAMPO,CHN,-0.68,0.23,-1.97,-2.17,-2.0,-1.99,-0.63,35,61,7,1,1,8,24
Souza,Beijing Guoan,MEIO-CAMPO,CHN,0.86,0.43,-0.41,-1.27,-0.29,1.77,-0.28,76,66,48,25,61,86,44
N. Kosović,Meizhou Hakka,MEIO-CAMPO,CHN,1.73,0.95,3.12,0.38,0.97,1.49,-0.31,92,80,94,65,73,85,41
Cai Huikang,Shanghai Port,MEIO-CAMPO,CHN,-0.17,-0.41,-1.56,-1.5,-1.92,-2.12,-1.02,48,34,18,18,3,1,4
Yang Mingyang,Nantong Zhiyun,MEIO-CAMPO,CHN,-0.79,-0.03,-1.5,-1.35,-1.13,-1.09,-0.78,28,48,20,24,30,35,18
Wang Shangyuan,Henan Songshan Longmen,MEIO-CAMPO,CHN,-0.23,-0.57,1.24,0.42,-1.04,-0.45,-0.88,45,30,82,68,35,54,14
Li Tixiang,Zhejiang Professional,MEIO-CAMPO,CHN,-0.13,-1.42,1.62,1.69,1.03,-1.6,0.27,52,15,85,89,75,15,70
Qian Jiegei,Zhejiang Professional,MEIO-CAMPO,CHN,0.98,-0.43,1.03,1.21,2.31,-1.65,-0.12,82,32,77,82,87,14,59
Huang Ruifeng,Shenzhen,MEIO-CAMPO,CHN,0.53,1.49,-0.95,-1.65,-1.88,-2.12,-0.16,66,92,35,11,7,3,56
Fei Yu,Dalian Pro,MEIO-CAMPO,CHN,-2.15,0.71,-1.95,0.02,0.05,-0.77,-0.27,4,72,8,56,65,45,46
D. Denić,Henan Songshan Longmen,MEIO-CAMPO,CHN,-1.17,0.42,-2.22,-1.2,-0.96,3.7,0.62,14,65,4,28,39,94,80
Li Yongjia,Meizhou Hakka,MEIO-CAMPO,CHN,-0.07,0.49,-2.44,-1.57,-1.72,0.08,0.68,54,68,3,14,13,61,85
Ma Xingyu,Qingdao Hainiu,MEIO-CAMPO,CHN,0.64,2.12,0.07,-0.44,-1.19,-1.59,-0.96,70,94,61,49,27,17,7
D. Puclin,Nantong Zhiyun,MEIO-CAMPO,CHN,-0.14,1.07,-1.61,-1.84,-0.46,3.25,0.13,51,83,15,6,54,92,68
Li Ning,Shenzhen,MEIO-CAMPO,CHN,0.7,1.18,-1.5,-1.4,-0.33,-0.89,0.31,72,87,21,21,58,39,73
Feng Zhuoyi,Chengdu Rongcheng,MEIO-CAMPO,CHN,-0.93,-0.84,-0.62,-0.73,-1.05,0.32,-0.09,23,24,42,44,34,69,61
Dilyimit Tudi,Henan Songshan Longmen,MEIO-CAMPO,CHN,-0.94,0.08,-0.26,-0.98,-1.54,-0.71,-0.05,21,54,54,34,20,48,65
Li Ke,Beijing Guoan,MEIO-CAMPO,CHN,1.18,0.74,0.32,-0.01,-0.25,-1.89,-0.49,86,73,65,55,62,10,35
Zhong Jinbao,Qingdao Hainiu,MEIO-CAMPO,CHN,-0.64,0.89,-1.21,-0.63,-0.74,-0.62,-0.5,37,77,28,46,45,49,34
Lin Chuangyi,Cangzhou Mighty Lions,MEIO-CAMPO,CHN,0.78,-0.82,4.46,1.57,3.36,-1.52,0.81,75,25,97,86,96,18,89
Wu Wei,Dalian Pro,MEIO-CAMPO,CHN,-0.39,-0.12,1.25,0.53,-1.25,-1.43,-0.2,41,39,83,72,25,24,51
Mirahmetjan Muzepper,Shanghai Port,MEIO-CAMPO,CHN,1.06,-1.55,2.67,3.93,1.41,-0.38,-0.05,85,14,93,99,83,56,63
Zhang Yuan II,Beijing Guoan,MEIO-CAMPO,CHN,0.75,1.31,2.11,0.87,0.12,0.22,0.48,73,89,89,75,66,63,77
N. Bosancic,Dalian Pro,MEIO-CAMPO,CHN,0.45,3.13,0.09,1.19,0.15,-1.06,0.29,62,99,62,80,68,38,72
Xinli Peng,Qingdao Hainiu,MEIO-CAMPO,CHN,0.44,-0.12,-0.17,0.67,-0.82,-0.4,0.37,61,41,55,73,42,55,75
Tomás Pina,Real Murcia,MEIO-CAMPO,CHN,0.27,0.95,-0.86,-1.42,-1.08,-0.86,-0.59,55,82,38,20,31,42,27
Gao Tianyi,Beijing Guoan,MEIO-CAMPO,CHN,2.13,-0.14,0.23,1.13,2.35,0.36,0.76,96,38,63,79,89,70,86
A. Ademi,Beijing Guoan,MEIO-CAMPO,CHN,-1.19,-2.4,-1.37,-1.09,0.83,2.02,-0.17,13,7,25,31,72,87,55
Sabit Abdusalam,Changchun Yatai,MEIO-CAMPO,CHN,-0.17,0.07,-1.28,-0.92,-1.89,-1.4,-0.17,49,51,27,35,6,25,54
Li Songyi,Henan Songshan Longmen,MEIO-CAMPO,CHN,-1.29,0.06,-1.12,-1.17,-0.45,-0.57,-0.88,10,49,31,30,55,52,13
Xu Xin,Shanghai Port,MEIO-CAMPO,CHN,0.99,-0.7,0.75,1.29,-0.97,-1.45,0.14,83,27,72,83,38,21,69
Wang Song,Nantong Zhiyun,MEIO-CAMPO,CHN,-2.34,-3.43,0.59,0.96,0.68,0.54,-0.26,3,1,69,76,70,72,48
Gan Chao,Chengdu Rongcheng,MEIO-CAMPO,CHN,0.62,-0.09,-0.29,-0.76,-0.85,-1.11,-0.84,69,44,51,42,41,32,17
Chi Zhongguo,Beijing Guoan,MEIO-CAMPO,CHN,1.85,0.8,2.36,0.3,-0.41,-1.14,-0.21,93,75,90,61,56,31,49
Xi Wu,Shanghai Shenhua,MEIO-CAMPO,CHN,-0.96,0.13,0.87,-0.83,-0.67,0.32,-0.38,20,56,76,38,48,68,38
Long Wei,Qingdao Hainiu,MEIO-CAMPO,CHN,-0.8,0.35,-1.09,-1.53,-1.75,-1.44,-0.27,27,62,32,17,11,23,45
Zhang Xiaobin,Wuhan Three Towns,MEIO-CAMPO,CHN,0.34,-1.09,0.8,0.03,-0.61,-1.73,-0.88,58,20,73,58,51,13,15
Shi Liang,Meizhou Hakka,MEIO-CAMPO,CHN,-1.22,0.08,-1.7,-1.77,-0.99,-1.08,-0.94,11,55,13,7,37,37,8
Li Yuanyi,Shandong Taishan,MEIO-CAMPO,CHN,-0.75,-0.43,-0.46,0.5,1.09,0.79,-0.51,32,31,45,70,77,77,31
He Chao,Wuhan Three Towns,MEIO-CAMPO,CHN,0.88,-0.3,0.43,-0.8,-1.51,-1.37,-0.51,79,37,66,39,23,27,32
Wang Haijian,Shanghai Shenhua,MEIO-CAMPO,CHN,-0.72,1.16,-2.1,-1.37,-1.59,-1.1,-0.53,34,86,6,23,18,34,30
Fran Mérida,Tianjin Tigers,MEIO-CAMPO,CHN,1.26,-0.97,4.88,2.83,1.5,-0.87,0.88,87,23,100,96,85,41,92
Yan Dinghao,Wuhan Three Towns,MEIO-CAMPO,CHN,1.43,-0.38,2.05,1.13,1.35,0.24,-0.68,89,35,87,77,82,66,23
Lucas Morelatto,Nantong Zhiyun,MEIO-CAMPO,CHN,-0.53,-0.12,-1.49,-0.22,-0.6,0.6,1.52,39,42,23,52,52,73,96
G. Zhukov,Cangzhou Mighty Lions,MEIO-CAMPO,CHN,2.81,3.09,0.63,-0.12,-0.8,-0.71,0.97,100,97,70,54,44,46,93
Zhang Yufeng,Changchun Yatai,MEIO-CAMPO,CHN,0.27,-0.06,-0.11,0.14,-0.33,-1.17,-0.2,56,46,59,59,59,28,52
Xu Yue,Shenzhen,MEIO-CAMPO,CHN,-0.83,-1.11,-1.92,-1.74,-1.69,-2.08,-0.31,25,18,10,8,15,4,42
Lu Peng,Dalian Pro,MEIO-CAMPO,CHN,-1.84,1.1,-1.45,-0.59,-1.05,-1.51,-0.55,7,85,24,48,32,20,28
N. Stanciu,Dhamk,MEIO-CAMPO,CHN,-0.76,-2.59,3.44,3.08,5.39,0.72,1.17,31,4,96,97,97,76,94
E. Sarić,Qingdao Hainiu,MEIO-CAMPO,CHN,0.54,0.22,-0.29,1.6,-0.03,-0.12,0.44,68,59,52,87,63,59,76
P. Zulj,Changchun Yatai,MEIO-CAMPO,CHN,2.09,-0.63,2.57,2.41,3.09,3.75,0.67,94,28,92,92,94,96,83
I. Amadou,Shanghai Shenhua,MEIO-CAMPO,CHN,0.45,0.63,1.06,-0.37,-1.51,-0.31,-0.62,63,70,79,51,21,58,25
Oscar,Shanghai Port,MEIO-CAMPO,CHN,2.37,-1.29,4.76,6.58,6.5,4.17,2.24,99,17,99,100,100,97,97
Chow Tim,Chengdu Rongcheng,MEIO-CAMPO,CHN,2.36,4.27,-0.41,-1.03,-1.17,0.95,-0.35,97,100,46,32,28,80,39
Yin Hongbo,Meizhou Hakka,MEIO-CAMPO,CHN,-1.12,-2.29,-0.13,0.36,1.06,0.8,-0.08,17,11,58,63,76,79,62
João Teixeira,Shanghai Shenhua,MEIO-CAMPO,CHN,-0.22,-0.07,0.52,0.48,2.38,1.18,2.3,46,45,68,69,92,82,99
Cheng Jin,Zhejiang Professional,MEIO-CAMPO,CHN,-0.27,-2.6,1.08,1.44,2.75,1.37,0.82,42,3,80,85,93,83,90
F. Andrijašević,Zhejiang Professional,MEIO-CAMPO,CHN,-1.06,-2.3,-0.63,0.34,1.53,6.12,0.53,18,10,41,62,86,100,79
Moisés,Shandong Taishan,MEIO-CAMPO,CHN,0.88,-1.06,2.02,2.65,5.39,5.14,0.63,77,21,86,94,99,99,82
B. Tsonev,Dalian Pro,MEIO-CAMPO,CHN,-1.14,0.08,-1.0,2.05,1.26,3.2,0.78,15,52,34,90,80,90,87
Wang Qiuming,Tianjin Tigers,MEIO-CAMPO,CHN,-3.3,-1.71,-2.86,-1.85,-0.68,3.15,-0.7,1,13,1,4,46,89,21
Rodrigo Henrique,Meizhou Hakka,MEIO-CAMPO,CHN,0.92,0.14,-0.82,0.42,1.12,3.44,5.76,80,58,39,66,79,93,100
E. Murillo,Deportivo Pereira,MEIO-CAMPO,COL,-1.38,-0.42,-3.24,-2.46,-1.54,0.24,0.35,15,40,1,5,17,71,72
D. Zapata,Envigado,MEIO-CAMPO,COL,-2.57,-0.05,-2.68,-2.52,-1.98,-1.76,-1.23,2,51,3,4,4,14,6
J. Becerra,Atlético Bucaramanga,MEIO-CAMPO,COL,-0.12,2.91,-2.34,-2.42,-1.7,-0.32,0.85,44,95,6,6,11,55,84
A. Montaño,Once Caldas,MEIO-CAMPO,COL,-1.44,-0.65,-2.74,-3.05,-2.03,-0.45,0.23,13,33,2,1,1,50,70
J. Rodríguez,Atlético Bucaramanga,MEIO-CAMPO,COL,0.98,0.54,-0.1,0.24,-1.35,-0.82,-0.81,79,65,48,59,28,38,18
C. Robles,Atlético Huila,MEIO-CAMPO,COL,-1.12,-1.12,-0.55,-0.98,-1.29,-0.1,-1.41,20,23,42,30,32,60,2
R. Bustamante,Vizela,MEIO-CAMPO,COL,1.54,2.02,-0.62,-1.7,-0.39,-1.25,-0.23,90,91,39,11,55,27,49
H. Rivera,Santa Fe,MEIO-CAMPO,COL,-0.3,0.65,0.6,0.46,-1.33,-1.55,-0.55,41,69,69,66,30,18,37
D. Quiñonez,Rosario Central,MEIO-CAMPO,COL,0.19,1.5,0.1,-1.37,-1.9,-0.18,0.42,57,85,53,23,7,57,77
J. Torres,Santa Fe,MEIO-CAMPO,COL,1.36,0.6,0.02,1.01,-0.45,-0.55,-0.14,84,68,50,76,54,46,53
F. Mosquera,Tolima,MEIO-CAMPO,COL,-0.59,-0.58,-0.57,-1.42,-0.63,-1.56,-0.74,31,36,41,21,50,17,25
J. Vélez,Junior,MEIO-CAMPO,COL,2.54,1.17,0.17,-0.71,0.18,-1.87,0.36,97,77,56,36,67,11,73
J. Mahecha,La Equidad,MEIO-CAMPO,COL,0.11,0.71,-0.63,-0.06,-0.1,-1.5,-1.45,54,70,38,53,62,20,1
C. Trujillo,Tolima,MEIO-CAMPO,COL,0.08,1.89,-2.29,-1.37,-1.42,-0.65,-0.76,52,90,7,24,26,45,23
Y. Congo,Deportivo Pereira,MEIO-CAMPO,COL,0.8,0.31,-0.72,-0.57,-1.91,-1.68,-1.06,75,56,36,40,6,16,11
J. Zapata,Atlas,MEIO-CAMPO,COL,0.44,0.26,4.34,3.26,0.24,-0.05,-0.2,63,53,100,99,68,62,50
D. Loaiza,Medellín,MEIO-CAMPO,COL,1.84,2.57,-0.22,-0.84,-0.68,-0.38,0.36,95,94,47,33,48,54,74
Y. Torres,Deportivo Pasto,MEIO-CAMPO,COL,-0.89,2.14,-1.93,-2.6,-1.72,-1.98,-0.28,26,92,10,2,10,10,47
K. Castaño,Cruz Azul,MEIO-CAMPO,COL,3.14,0.33,4.02,2.88,0.68,-0.69,0.71,100,58,98,97,71,43,82
M. Medina,Deportivo Pereira,MEIO-CAMPO,COL,-0.37,-0.76,0.52,-0.54,-0.51,-0.68,-1.3,38,32,64,41,53,44,5
F. Acosta,La Equidad,MEIO-CAMPO,COL,1.41,4.06,0.03,-0.59,-0.84,0.14,-0.11,85,100,51,39,43,69,54
Jhon Duque,Atlético Nacional,MEIO-CAMPO,COL,0.5,3.3,-1.31,-1.46,-1.65,-1.42,-0.83,66,98,25,18,14,22,16
R. Colpa,Alianza Petrolera,MEIO-CAMPO,COL,0.61,1.95,-0.8,-1.45,-0.89,0.78,-0.19,73,90,33,19,42,80,52
J. Caicedo,Deportivo Pasto,MEIO-CAMPO,COL,1.58,3.37,-0.59,-0.93,-1.96,-1.95,-0.89,92,99,40,31,5,10,15
S. Vega,Millonarios,MEIO-CAMPO,COL,-0.09,0.32,-0.32,-0.77,-1.9,-2.01,-0.98,46,57,44,35,8,8,13
J. Pereira,Millonarios,MEIO-CAMPO,COL,-0.08,-1.22,0.52,0.18,1.29,0.24,-0.35,47,20,65,58,78,70,43
D. Pino,Deportivo Pasto,MEIO-CAMPO,COL,-1.57,0.74,-2.04,-2.53,-1.69,-2.19,-0.82,11,72,9,3,12,2,17
C. Ayala,Deportivo Pasto,MEIO-CAMPO,COL,-1.64,-0.86,-1.38,-1.75,-0.71,0.29,-0.79,10,29,23,10,47,73,21
R. Manjarrés,Santa Fe,MEIO-CAMPO,COL,0.53,1.45,1.02,-0.05,2.18,-0.45,0.02,69,84,77,55,87,50,61
G. Celis,Águilas Doradas,MEIO-CAMPO,COL,0.61,1.39,-1.36,-1.61,-1.47,-1.41,-0.62,72,82,24,16,24,23,30
L. Paz,América de Cali,MEIO-CAMPO,COL,0.03,1.63,-1.43,-2.18,-1.99,-2.19,-1.13,51,87,20,7,3,2,9
J. Nieto,Tolima,MEIO-CAMPO,COL,0.51,-0.85,0.38,0.92,0.96,0.61,-0.57,68,30,60,74,74,78,36
A. Mejía,Unión Magdalena,MEIO-CAMPO,COL,-0.72,-0.29,0.73,-0.16,-1.31,-2.19,-0.74,30,44,72,52,31,2,24
F. Flórez,Alianza Petrolera,MEIO-CAMPO,COL,-1.79,-0.24,-1.44,-1.61,-1.79,-2.09,-0.98,8,46,19,17,9,5,12
I. Rojas,Santa Fe,MEIO-CAMPO,COL,-1.28,0.42,-1.92,-1.75,-1.02,-0.44,-1.16,17,61,10,10,40,51,8
F. Jaramillo,Envigado,MEIO-CAMPO,COL,-0.83,-0.43,1.31,0.16,-1.18,-1.53,-0.34,28,39,84,57,36,19,45
L. Vásquez,Millonarios,MEIO-CAMPO,COL,2.31,1.39,0.24,0.33,-1.52,-0.77,-0.61,96,83,57,62,20,39,30
