Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Apoio,Ataque,Último passe,Drible,Participação_percentil,Defesa_percentil,Apoio_percentil,Ataque_percentil,ùltimo_passe_percentil,Drible_percentil
H. ter Avest,Utrecht,LATERAL,HOL,-0.19,1.05,-1.34,-1.3,0.1,-1.14,49.0,81.0,17.0,17.0,58.0,19.0
M. Pedersen,Sassuolo,LATERAL,HOL,-0.5,-1.5,1.7,0.81,0.36,2.1,27.0,12.0,90.0,73.0,71.0,98.0
A. Bangura,Middlesbrough,LATERAL,HOL,-0.24,-0.69,1.38,-2.0,0.15,0.75,46.0,37.0,83.0,12.0,61.0,81.0
R. Vita,Fortuna Sittard,LATERAL,HOL,0.05,0.17,-0.62,-0.47,-1.53,1.39,56.0,56.0,36.0,41.0,19.0,88.0
G. Cox,Volendam,LATERAL,HOL,-0.64,0.27,-0.25,-0.72,-1.54,-0.73,24.0,63.0,41.0,31.0,17.0,27.0
C. Verdonk,NEC,LATERAL,HOL,2.27,1.52,0.88,-0.5,-0.8,-0.52,100.0,92.0,75.0,39.0,34.0,32.0
M. Kerkez,Bournemouth,LATERAL,HOL,0.51,0.75,1.48,2.23,1.19,0.74,69.0,71.0,85.0,93.0,76.0,80.0
I. Määttä,Groningen,LATERAL,HOL,-0.41,0.14,0.03,0.1,-1.31,1.62,34.0,53.0,56.0,58.0,24.0,95.0
M. Wittek,Bochum,LATERAL,HOL,-0.07,-0.99,0.62,1.0,1.87,-0.37,53.0,29.0,68.0,81.0,86.0,37.0
M. van der Maarel,Utrecht,LATERAL,HOL,-0.71,0.22,-1.59,-2.26,-1.69,-1.84,20.0,58.0,8.0,7.0,15.0,2.0
A. Meijers,RKC Waalwijk,LATERAL,HOL,1.47,1.01,1.07,1.01,1.13,0.0,86.0,78.0,81.0,83.0,73.0,49.0
T. Lutonda,RKC Waalwijk,LATERAL,HOL,0.5,1.22,-1.38,-1.07,-1.44,1.18,68.0,85.0,12.0,22.0,22.0,86.0
A. Sampsted,Twente,LATERAL,HOL,1.62,0.75,-0.1,-0.75,-0.36,-1.14,93.0,73.0,49.0,27.0,49.0,17.0
S. Bakari,Sparta Rotterdam,LATERAL,HOL,0.02,0.01,-0.9,0.16,0.07,1.18,54.0,49.0,27.0,61.0,56.0,85.0
S. Klaiber,Brøndby,LATERAL,HOL,1.68,1.5,1.83,3.32,2.24,-0.16,95.0,90.0,95.0,97.0,90.0,46.0
A. Zagré,Excelsior,LATERAL,HOL,-0.39,0.67,-1.3,-2.22,-1.23,0.44,37.0,68.0,19.0,8.0,27.0,73.0
D. Murkin,Schalke 04,LATERAL,HOL,0.71,1.47,1.05,-0.31,0.22,1.4,75.0,88.0,80.0,42.0,66.0,90.0
B. Plat,Volendam,LATERAL,HOL,1.34,4.63,-2.75,-3.16,-2.62,0.03,85.0,100.0,2.0,2.0,2.0,53.0
D. Rensch,Ajax,LATERAL,HOL,1.55,0.05,0.74,-0.74,0.18,-0.58,92.0,51.0,71.0,29.0,63.0,31.0
S. Sambo,PSV,LATERAL,HOL,0.16,-0.14,-0.6,-0.55,-2.02,0.22,63.0,47.0,37.0,34.0,8.0,58.0
M. van Ewijk,Coventry City,LATERAL,HOL,-1.37,-0.25,0.2,-0.62,-0.54,1.12,12.0,44.0,61.0,32.0,41.0,83.0
J. Brenet,Twente,LATERAL,HOL,0.54,-1.17,0.69,0.17,2.88,0.29,71.0,24.0,69.0,63.0,93.0,64.0
B. Kuipers,Go Ahead Eagles,LATERAL,HOL,-1.61,-0.16,-0.05,2.19,1.53,-0.29,7.0,46.0,54.0,92.0,83.0,41.0
P. van Aanholt,PSV,LATERAL,HOL,-0.91,-2.5,-0.26,-0.11,3.01,-1.14,19.0,3.0,39.0,47.0,95.0,15.0
J. Teze,PSV,LATERAL,HOL,1.78,-1.44,1.9,3.47,3.04,-0.92,97.0,15.0,98.0,100.0,97.0,24.0
C. Arcus,Vitesse,LATERAL,HOL,0.08,-0.33,0.19,0.27,0.12,0.02,58.0,42.0,59.0,64.0,59.0,51.0
Mica Pinto,Vitesse,LATERAL,HOL,0.13,-1.89,1.76,1.4,-0.52,0.07,61.0,7.0,93.0,88.0,44.0,54.0
S. El Karouani,Utrecht,LATERAL,HOL,-0.4,-0.4,-1.39,0.38,-0.16,1.42,36.0,41.0,10.0,68.0,53.0,92.0
Q. Hartman,Feyenoord,LATERAL,HOL,1.52,-1.19,0.93,1.84,2.27,0.14,88.0,22.0,78.0,90.0,92.0,56.0
B. van Rooij,NEC,LATERAL,HOL,0.38,0.85,-0.96,-0.31,0.28,0.38,66.0,75.0,24.0,44.0,68.0,69.0
J. Lelieveld,RKC Waalwijk,LATERAL,HOL,-0.66,-0.81,-0.23,0.36,0.18,-1.13,22.0,34.0,42.0,66.0,64.0,20.0
G. Smal,Twente,LATERAL,HOL,0.82,-0.98,3.6,3.46,3.43,-0.4,80.0,31.0,100.0,98.0,98.0,34.0
Ivo Pinto,Fortuna Sittard,LATERAL,HOL,-1.39,-1.02,1.88,0.92,0.35,0.38,10.0,27.0,97.0,76.0,69.0,68.0
Y. Sugawara,AZ,LATERAL,HOL,-0.23,-2.0,1.74,2.79,4.35,-1.06,47.0,5.0,92.0,95.0,100.0,22.0
S. Horemans,Excelsior,LATERAL,HOL,-0.49,0.36,0.36,0.53,-0.52,0.22,29.0,64.0,64.0,69.0,46.0,59.0
M. Deijl,Go Ahead Eagles,LATERAL,HOL,-0.94,-1.08,-0.92,-0.02,1.22,-1.19,17.0,25.0,25.0,54.0,78.0,10.0
M. Köhlert,Heerenveen,LATERAL,HOL,-0.49,-1.46,1.49,1.32,1.17,-0.22,31.0,14.0,86.0,86.0,75.0,42.0
N. Zortea,Atalanta,LATERAL,ITA1,1.31,1.07,0.91,1.31,-0.59,1.15,89.0,75.0,84.0,88.0,44.0,88.0
G. Pezzella,Empoli,LATERAL,ITA1,0.76,-0.17,1.13,1.69,-1.36,0.91,77.0,47.0,86.0,89.0,12.0,84.0
R. Gosens,Union Berlin,LATERAL,ITA1,-0.19,2.25,0.29,-0.47,0.48,-0.91,45.0,97.0,66.0,38.0,69.0,23.0
M. Viña,Sassuolo,LATERAL,ITA1,1.27,2.02,0.31,0.92,1.75,-0.13,88.0,95.0,67.0,78.0,88.0,47.0
S. Sabelli,Genoa,LATERAL,ITA1,0.35,1.13,-1.58,0.16,-0.55,0.23,67.0,80.0,8.0,62.0,47.0,62.0
G. Zappa,Cagliari,LATERAL,ITA1,-0.74,-1.3,-0.2,0.19,-0.87,-0.66,28.0,19.0,44.0,64.0,30.0,34.0
Z. Çelik,Roma,LATERAL,ITA1,0.52,1.22,0.1,-0.08,-0.67,-0.69,73.0,81.0,58.0,59.0,36.0,33.0
C. Lykogiannis,Bologna,LATERAL,ITA1,-0.51,-1.19,0.02,1.7,-1.0,-1.03,34.0,22.0,52.0,91.0,23.0,16.0
Mário Rui,Napoli,LATERAL,ITA1,3.5,-0.07,3.26,4.16,1.68,-1.05,100.0,50.0,100.0,100.0,86.0,14.0
A. Oyono,Frosinone,LATERAL,ITA1,-0.48,-0.24,-2.0,-2.72,-1.19,-0.33,38.0,45.0,6.0,2.0,20.0,42.0
K. Ehizibue,Udinese,LATERAL,ITA1,-0.18,1.51,-2.19,-1.57,-2.04,0.31,47.0,84.0,2.0,11.0,6.0,69.0
J. Cuadrado,Internazionale,LATERAL,ITA1,1.13,1.86,-0.13,-0.43,0.99,0.35,84.0,91.0,45.0,41.0,81.0,73.0
W. Singo,Monaco,LATERAL,ITA1,0.11,-1.65,0.42,0.25,-0.3,1.12,59.0,16.0,77.0,66.0,56.0,86.0
V. Lazaro,Torino,LATERAL,ITA1,-1.57,-2.77,-0.3,-0.59,0.7,-0.14,9.0,3.0,38.0,36.0,75.0,45.0
L. Cacace,Empoli,LATERAL,ITA1,0.58,0.4,-0.39,-1.34,-2.12,-0.58,75.0,59.0,34.0,17.0,3.0,38.0
F. Ebosele,Udinese,LATERAL,ITA1,-0.3,2.01,0.09,-0.18,-0.53,2.86,42.0,94.0,56.0,53.0,52.0,100.0
S. Birindelli,Monza,LATERAL,ITA1,0.22,0.77,0.03,-0.65,1.4,0.18,64.0,72.0,55.0,31.0,84.0,61.0
J. Doig,Hellas Verona,LATERAL,ITA1,-1.17,-0.36,-1.28,-1.99,-1.35,0.15,16.0,38.0,12.0,5.0,14.0,58.0
J. Maehle,Wolfsburg,LATERAL,ITA1,-0.87,-0.29,0.25,-0.16,2.41,-0.98,25.0,42.0,62.0,55.0,89.0,20.0
L. Sernicola,Cremonese,LATERAL,ITA1,-0.91,1.11,-0.34,1.09,0.22,0.7,23.0,77.0,36.0,83.0,66.0,81.0
R. Marchizza,Frosinone,LATERAL,ITA1,-1.84,-2.25,-2.07,-0.99,-0.9,-1.26,5.0,8.0,3.0,23.0,28.0,5.0
R. Bellanova,Torino,LATERAL,ITA1,-0.23,-0.77,0.52,0.7,-0.63,2.11,44.0,30.0,78.0,75.0,39.0,95.0
F. Terracciano,Hellas Verona,LATERAL,ITA1,0.19,2.75,-0.75,-0.34,-0.64,0.3,61.0,98.0,25.0,44.0,38.0,67.0
A. Reca,Spezia,LATERAL,ITA1,0.07,-0.3,0.01,0.52,-0.49,0.46,56.0,41.0,50.0,70.0,55.0,77.0
M. Léris,Stoke City,LATERAL,ITA1,0.35,1.67,-1.02,-0.91,-0.87,0.88,66.0,88.0,16.0,25.0,31.0,83.0
A. Zanoli,Napoli,LATERAL,ITA1,-0.86,0.01,-0.99,-1.67,-0.51,0.52,27.0,53.0,17.0,8.0,53.0,80.0
F. Depaoli,Sampdoria,LATERAL,ITA1,-1.92,0.77,-2.0,-0.87,-2.15,-0.91,3.0,70.0,5.0,27.0,2.0,25.0
M. Lazzari,Lazio,LATERAL,ITA1,-0.01,-1.22,2.24,-0.31,-0.55,0.15,53.0,20.0,97.0,45.0,48.0,59.0
G. Kyriakopoulos,Monza,LATERAL,ITA1,0.79,-0.32,0.33,0.82,0.58,0.25,78.0,39.0,69.0,77.0,73.0,64.0
M. Faraoni,Hellas Verona,LATERAL,ITA1,-1.37,0.47,-0.88,-0.21,-0.85,-0.82,11.0,61.0,19.0,50.0,33.0,27.0
Dodô,Fiorentina,LATERAL,ITA1,0.42,0.02,1.7,0.46,0.72,0.52,69.0,55.0,94.0,69.0,77.0,78.0
P. Mazzocchi,Salernitana,LATERAL,ITA1,-0.5,-0.86,-0.01,-0.3,-1.32,2.0,36.0,27.0,48.0,47.0,16.0,94.0
D. Udogie,Tottenham Hotspur,LATERAL,ITA1,-0.04,0.53,0.41,-1.86,0.26,2.2,52.0,64.0,75.0,6.0,67.0,97.0
M. Ruggeri,Atalanta,LATERAL,ITA1,0.89,-0.14,0.22,1.22,0.9,-0.39,80.0,48.0,61.0,84.0,80.0,41.0
S. El Shaarawy,Roma,LATERAL,ITA1,-1.27,-2.49,1.15,-0.47,2.86,0.32,14.0,5.0,88.0,39.0,94.0,70.0
E. Valeri,Cremonese,LATERAL,ITA1,-0.69,0.62,0.29,0.55,1.28,1.42,31.0,67.0,64.0,72.0,83.0,91.0
L. Spinazzola,Roma,LATERAL,ITA1,0.03,-2.05,3.03,2.33,3.94,2.39,55.0,11.0,98.0,94.0,100.0,98.0
Rogério,Wolfsburg,LATERAL,ITA1,-0.12,-0.51,1.76,0.93,-0.57,-0.06,48.0,33.0,95.0,80.0,45.0,53.0
M. Vojvoda,Torino,LATERAL,ITA1,-0.66,-1.89,0.58,3.16,0.49,-0.09,33.0,12.0,80.0,97.0,70.0,48.0
F. Dimarco,Internazionale,LATERAL,ITA1,0.09,-1.67,0.76,3.92,3.9,-1.17,58.0,14.0,81.0,98.0,98.0,6.0
K. Amian,Spezia,LATERAL,ITA1,-0.35,1.57,-0.54,-0.19,-1.39,-1.09,41.0,86.0,30.0,52.0,11.0,12.0
N. Zalewski,Roma,LATERAL,ITA1,1.17,1.12,0.35,-0.63,-0.83,1.43,86.0,78.0,70.0,33.0,34.0,92.0
M. Olivera,Napoli,LATERAL,ITA1,3.04,1.48,-0.11,-0.59,0.06,-0.97,97.0,83.0,47.0,34.0,61.0,22.0
E. Hysaj,Lazio,LATERAL,ITA1,1.13,0.27,-0.66,-1.41,-1.98,-1.42,83.0,58.0,27.0,14.0,8.0,3.0
D. Lazović,Hellas Verona,LATERAL,ITA1,-3.73,-3.17,-1.39,0.66,2.55,-0.2,2.0,2.0,11.0,73.0,91.0,44.0
D. Zappacosta,Atalanta,LATERAL,ITA1,0.43,-0.41,0.16,-0.83,-1.11,0.28,70.0,36.0,59.0,28.0,22.0,66.0
A. Cambiaso,Juventus,LATERAL,ITA1,1.7,0.51,-0.58,-1.31,-0.06,0.43,91.0,62.0,28.0,19.0,58.0,75.0
D. Dumfries,Internazionale,LATERAL,ITA1,-0.36,-0.29,-0.5,-0.12,2.66,0.34,39.0,44.0,33.0,56.0,92.0,72.0
D. Calabria,Milan,LATERAL,ITA1,1.79,1.04,-0.29,0.02,-0.05,-1.13,92.0,73.0,39.0,61.0,59.0,9.0
C. Biraghi,Fiorentina,LATERAL,ITA1,1.07,0.68,0.91,1.0,0.11,-0.98,81.0,69.0,83.0,81.0,64.0,19.0
A. Gallo,Lecce,LATERAL,ITA1,-1.36,0.59,0.35,1.85,-0.54,-0.99,12.0,66.0,72.0,92.0,50.0,17.0
T. Ebuehi,Empoli,LATERAL,ITA1,-1.14,-0.47,-1.4,-2.08,-0.93,-0.76,17.0,34.0,9.0,3.0,27.0,30.0
F. Kostić,Juventus,LATERAL,ITA1,-0.72,-0.02,-0.28,1.23,2.96,-0.04,30.0,52.0,41.0,86.0,95.0,56.0
Carlos Augusto,Internazionale,LATERAL,ITA1,-0.06,0.17,-0.86,-1.46,0.11,-0.4,50.0,56.0,22.0,12.0,62.0,39.0
F. Parisi,Fiorentina,LATERAL,ITA1,1.8,1.89,1.54,-0.42,-0.61,1.39,94.0,92.0,91.0,42.0,41.0,89.0
S. Posch,Bologna,LATERAL,ITA1,3.25,2.83,0.38,-0.78,-1.25,-0.79,98.0,100.0,73.0,30.0,17.0,28.0
J. Toljan,Sassuolo,LATERAL,ITA1,-1.08,-0.93,-0.75,-1.16,-0.94,-1.44,19.0,23.0,23.0,22.0,25.0,2.0
T. Hernández,Milan,LATERAL,ITA1,0.44,-0.83,1.29,-0.23,0.77,-0.09,72.0,28.0,89.0,48.0,78.0,50.0
A. Marušić,Lazio,LATERAL,ITA1,0.21,-0.87,-0.52,-1.27,-1.89,-1.11,62.0,25.0,31.0,20.0,9.0,11.0
D. Bradarić,Salernitana,LATERAL,ITA1,-1.72,-1.36,-0.88,-1.63,-2.05,-0.75,6.0,17.0,20.0,9.0,5.0,31.0
T. Augello,Cagliari,LATERAL,ITA1,-1.59,-2.08,0.03,0.28,-0.59,-0.09,8.0,9.0,53.0,67.0,42.0,52.0
P. Ciurria,Monza,LATERAL,ITA1,-1.03,-2.47,-0.26,-0.1,0.52,-0.06,20.0,6.0,42.0,58.0,72.0,55.0
V. Gendrey,Lecce,LATERAL,ITA1,-0.94,1.73,-1.25,-1.37,-1.2,-1.17,22.0,89.0,14.0,16.0,19.0,8.0
G. Di Lorenzo,Napoli,LATERAL,ITA1,1.94,-0.64,1.6,2.53,3.17,-0.66,95.0,31.0,92.0,95.0,97.0,36.0
R. Takao,Gamba Osaka,LATERAL,JAP,1.58,1.52,-0.66,-0.13,-2.17,-0.03,94.0,83.0,26.0,51.0,6.0,57.0
T. Wada,Yokohama,LATERAL,JAP,-0.32,-1.47,-0.94,-2.24,-1.51,-0.86,45.0,15.0,13.0,6.0,8.0,13.0
K. Tsunemoto,Servette,LATERAL,JAP,1.51,2.64,-0.93,-0.25,-0.22,-0.96,92.0,98.0,17.0,43.0,53.0,8.0
S. Tokumoto,Tokyo,LATERAL,JAP,0.51,-0.46,-0.64,-1.39,0.57,-0.42,74.0,40.0,28.0,19.0,74.0,40.0
K. Bangnagande,Tokyo,LATERAL,JAP,-0.18,-1.57,-0.34,0.57,-0.03,0.81,53.0,13.0,49.0,72.0,60.0,91.0
Diego,Kashiwa Reysol,LATERAL,JAP,-1.37,0.76,-0.77,-0.95,1.68,-0.28,13.0,72.0,21.0,23.0,94.0,43.0
Y. Segawa,Kawasaki Frontale,LATERAL,JAP,-1.45,-2.04,-0.93,0.54,1.03,0.44,11.0,9.0,15.0,70.0,85.0,79.0
T. Okamoto,Shonan Bellmare,LATERAL,JAP,-0.19,0.87,-0.14,-0.13,0.47,-0.24,51.0,77.0,57.0,49.0,70.0,47.0
T. Tsuchiya,Kashiwa Reysol,LATERAL,JAP,-0.23,0.18,-2.05,-2.23,-2.76,-1.19,49.0,64.0,4.0,8.0,2.0,4.0
T. Kondo,Yokohama,LATERAL,JAP,-1.55,1.35,0.1,-0.53,0.45,1.8,9.0,81.0,64.0,28.0,68.0,96.0
R. Yamanaka,Cerezo Osaka,LATERAL,JAP,-1.06,-0.86,1.17,1.15,1.61,-0.96,23.0,25.0,91.0,81.0,91.0,9.0
T. Shichi,Sanfrecce Hiroshima,LATERAL,JAP,-1.16,-1.01,-0.29,2.79,0.17,-0.23,17.0,21.0,51.0,96.0,62.0,49.0
Y. Horigome,Albirex Niigata,LATERAL,JAP,3.64,-1.22,3.45,2.52,-0.97,-0.52,100.0,19.0,100.0,94.0,26.0,30.0
R. Hirose,Kashima Antlers,LATERAL,JAP,0.76,1.16,0.7,1.81,0.9,-0.77,79.0,79.0,79.0,92.0,83.0,21.0
S. Nakano,Sanfrecce Hiroshima,LATERAL,JAP,0.92,0.47,-0.76,0.58,0.55,0.25,81.0,68.0,23.0,74.0,72.0,70.0
T. Ogiwara,Urawa Reds,LATERAL,JAP,1.06,0.82,0.76,0.32,0.17,0.75,85.0,75.0,81.0,60.0,64.0,89.0
T. Hata,Shonan Bellmare,LATERAL,JAP,0.41,-0.66,-0.27,-1.57,-1.21,0.32,68.0,32.0,55.0,17.0,13.0,74.0
T. Yamane,Yokohama,LATERAL,JAP,-0.68,1.7,-0.44,1.21,0.65,0.12,34.0,89.0,43.0,85.0,77.0,64.0
Lucas Fernandes,Consadole Sapporo,LATERAL,JAP,0.31,-0.32,3.31,1.16,5.22,2.5,62.0,43.0,98.0,83.0,98.0,98.0
K. Sato,Kyoto Sanga,LATERAL,JAP,0.47,2.56,-0.7,0.39,-0.73,0.04,72.0,94.0,25.0,64.0,32.0,60.0
K. Funaki,Cerezo Osaka,LATERAL,JAP,-1.66,-2.59,-0.45,-0.35,-0.3,-1.21,8.0,4.0,42.0,40.0,49.0,2.0
S. Fukuda,Kyoto Sanga,LATERAL,JAP,1.22,2.57,0.09,0.43,-0.1,0.51,89.0,96.0,62.0,66.0,57.0,85.0
H. Mitsumaru,Kashiwa Reysol,LATERAL,JAP,-0.4,-0.99,0.68,-0.35,-0.57,-0.38,43.0,23.0,75.0,42.0,42.0,42.0
M. Yuzawa,Avispa Fukuoka,LATERAL,JAP,-1.36,-0.23,-1.14,-0.14,-0.61,0.4,15.0,47.0,11.0,47.0,40.0,75.0
N. Arai,Albirex Niigata,LATERAL,JAP,3.29,0.8,1.4,0.1,-1.34,0.41,98.0,74.0,94.0,58.0,11.0,77.0
H. Ishihara,Shonan Bellmare,LATERAL,JAP,0.28,-0.03,-0.29,0.69,-0.68,0.46,60.0,55.0,53.0,75.0,38.0,81.0
T. Kaneko,Dinamo Zagreb,LATERAL,JAP,0.37,-0.78,3.3,3.05,5.81,4.97,66.0,26.0,96.0,100.0,100.0,100.0
R. Handa,Gamba Osaka,LATERAL,JAP,0.06,2.84,-0.51,-0.95,-1.04,-0.77,55.0,100.0,34.0,21.0,19.0,17.0
I. Oda,Avispa Fukuoka,LATERAL,JAP,0.19,1.9,-0.56,-0.94,-0.37,0.14,58.0,91.0,32.0,25.0,47.0,66.0
R. Izumi,Nagoya Grampus,LATERAL,JAP,-1.12,-0.64,-1.3,-2.25,-0.27,0.55,19.0,34.0,8.0,4.0,51.0,87.0
T. Akimoto,Urawa Reds,LATERAL,JAP,0.07,-0.22,-0.86,-1.64,-1.02,-0.06,57.0,49.0,19.0,15.0,21.0,55.0
K. Noborizato,Kawasaki Frontale,LATERAL,JAP,0.99,-0.36,0.9,0.77,0.67,-0.84,83.0,42.0,83.0,77.0,79.0,15.0
K. Shirai,Tokyo,LATERAL,JAP,-0.44,1.57,0.06,1.69,0.61,1.09,38.0,85.0,60.0,91.0,75.0,94.0
H. Sakai,Urawa Reds,LATERAL,JAP,-1.03,0.16,0.68,-0.39,-1.12,-0.9,25.0,60.0,77.0,38.0,17.0,11.0
S. Fujiwara,Albirex Niigata,LATERAL,JAP,3.12,2.45,0.59,0.49,1.12,-0.46,96.0,92.0,72.0,68.0,87.0,36.0
E. Katayama,Kashiwa Reysol,LATERAL,JAP,-0.71,-0.52,-0.47,-0.41,-0.54,-0.48,28.0,38.0,40.0,36.0,43.0,34.0
Y. Nagatomo,Tokyo,LATERAL,JAP,-1.08,0.17,-1.15,-1.66,-1.36,-0.5,21.0,62.0,9.0,13.0,9.0,32.0
K. Matsubara,Yokohama F. Marinos,LATERAL,JAP,1.06,-0.15,0.66,0.36,-0.7,-1.18,87.0,51.0,74.0,62.0,36.0,6.0
Y. Maejima,Avispa Fukuoka,LATERAL,JAP,-0.7,-0.13,-0.07,-0.15,-0.71,0.05,30.0,53.0,58.0,45.0,34.0,62.0
K. Hayashi,Yokohama,LATERAL,JAP,-1.7,-0.72,-1.36,-2.21,-1.01,0.0,4.0,28.0,6.0,9.0,23.0,58.0
K. Nagato,Yokohama F. Marinos,LATERAL,JAP,0.66,0.31,-0.38,-0.59,-0.99,-0.56,77.0,66.0,45.0,26.0,25.0,26.0
S. Higashi,Sanfrecce Hiroshima,LATERAL,JAP,-0.69,-3.19,1.02,1.63,2.21,-0.26,32.0,2.0,89.0,89.0,96.0,45.0
T. Kikuchi,Sagan Tosu,LATERAL,JAP,0.32,0.12,-0.51,-0.42,-1.13,-0.67,64.0,57.0,36.0,34.0,15.0,25.0
W. Harada,Sagan Tosu,LATERAL,JAP,0.42,-1.43,-0.48,-0.49,-0.08,-0.68,70.0,17.0,38.0,32.0,58.0,23.0
D. Suga,Consadole Sapporo,LATERAL,JAP,-1.67,-1.85,-0.62,-1.82,-0.11,-0.14,6.0,11.0,30.0,11.0,55.0,53.0
G. Sakai,Vissel Kobe,LATERAL,JAP,-0.31,1.64,0.29,0.92,-0.84,-0.46,47.0,87.0,70.0,79.0,28.0,38.0
K. Anzai,Kashima Antlers,LATERAL,JAP,-1.81,-2.09,-0.36,-0.52,-0.43,0.46,2.0,8.0,47.0,30.0,45.0,83.0
S. Maikuma,Cerezo Osaka,LATERAL,JAP,0.59,-0.24,0.98,-0.11,0.4,0.15,75.0,45.0,85.0,53.0,66.0,68.0
K. Koizumi,Tokyo,LATERAL,JAP,-0.48,0.12,-2.26,-2.59,-2.63,-0.77,36.0,58.0,2.0,2.0,4.0,19.0
R. Morishita,Nagoya Grampus,LATERAL,JAP,-0.96,-0.69,0.21,-0.03,0.75,1.01,26.0,30.0,68.0,57.0,81.0,92.0
R. Hatsuse,Vissel Kobe,LATERAL,JAP,-0.41,-0.56,1.17,2.93,1.6,-0.2,40.0,36.0,92.0,98.0,89.0,51.0
K. Kurokawa,Gamba Osaka,LATERAL,JAP,-0.41,-2.23,0.15,-0.08,-0.78,0.31,42.0,6.0,66.0,55.0,30.0,72.0
M. Yamane,Kawasaki Frontale,LATERAL,JAP,1.32,0.57,0.98,1.45,1.67,-0.55,91.0,70.0,87.0,87.0,92.0,28.0
A. Mayorga,Guadalajara,LATERAL,MEX,0.14,0.48,1.38,-0.78,-0.64,-0.18,56.0,67.0,87.0,30.0,44.0,50.0
J. Rodríguez,Necaxa,LATERAL,MEX,-1.66,0.13,-1.69,-1.41,-1.45,0.06,11.0,61.0,7.0,13.0,13.0,63.0
J. Madueña,Mazatlán,LATERAL,MEX,-1.33,-1.26,-1.76,-2.28,-1.73,-1.01,17.0,20.0,6.0,4.0,9.0,11.0
E. Lara,América,LATERAL,MEX,0.53,0.72,-0.21,0.13,-0.05,-0.55,69.0,70.0,48.0,61.0,59.0,35.0
U. García,Atlético de San Luis,LATERAL,MEX,-2.66,-1.26,-2.28,-3.09,-2.02,-0.5,4.0,19.0,2.0,2.0,6.0,41.0
E. Martínez,Necaxa,LATERAL,MEX,-0.81,1.83,-1.49,-1.39,-1.14,-0.99,30.0,91.0,9.0,17.0,24.0,15.0
J. Gómez,Querétaro,LATERAL,MEX,-0.89,-0.65,-1.14,-0.31,-1.38,-0.08,22.0,28.0,17.0,44.0,17.0,52.0
J. Perlaza,Querétaro,LATERAL,MEX,0.2,-0.33,-0.73,-0.54,-1.22,0.78,57.0,37.0,28.0,35.0,22.0,76.0
E. Aguirre,Monterrey,LATERAL,MEX,-0.88,-0.51,0.1,2.46,1.66,-0.85,24.0,33.0,57.0,98.0,85.0,22.0
F. Contreras,Club Tijuana,LATERAL,MEX,-0.26,-1.83,0.37,-0.17,-1.52,-0.55,46.0,11.0,67.0,52.0,11.0,33.0
R. Godínez,Club Tijuana,LATERAL,MEX,-0.85,0.87,-0.74,-1.67,-2.57,-1.68,28.0,72.0,26.0,7.0,2.0,2.0
M. Olivera,Peñarol,LATERAL,MEX,0.41,-0.77,1.26,1.21,0.63,0.2,65.0,22.0,83.0,85.0,78.0,72.0
J. Díaz,Mazatlán,LATERAL,MEX,1.88,2.9,-0.17,-1.49,-2.05,-0.62,89.0,100.0,50.0,11.0,4.0,31.0
J. Van Rankin,Necaxa,LATERAL,MEX,-0.78,1.12,-0.56,0.22,-0.45,-1.24,31.0,78.0,30.0,63.0,52.0,6.0
F. Venegas,Mazatlán,LATERAL,MEX,-0.28,-0.19,0.51,-0.8,-0.76,-0.45,44.0,41.0,72.0,28.0,39.0,44.0
J. Garza,Tigres UANL,LATERAL,MEX,2.51,1.94,0.14,-0.57,-0.4,-0.03,100.0,94.0,61.0,33.0,56.0,54.0
E. Hernández,León,LATERAL,MEX,-1.87,-4.51,1.43,4.6,4.44,1.89,7.0,2.0,89.0,100.0,100.0,94.0
M. Rodríguez,Pachuca,LATERAL,MEX,0.33,1.44,0.59,-1.14,0.58,1.26,61.0,85.0,74.0,20.0,74.0,91.0
P. Monroy,Pumas UNAM,LATERAL,MEX,0.27,0.89,-0.76,-0.91,-0.91,0.72,59.0,74.0,22.0,26.0,35.0,74.0
S. Reyes,América,LATERAL,MEX,-1.79,-2.0,-1.89,-1.82,-1.23,0.18,9.0,6.0,4.0,6.0,20.0,69.0
R. Sandoval,Querétaro,LATERAL,MEX,-1.11,-0.04,-0.5,1.24,-1.02,1.17,19.0,48.0,33.0,89.0,28.0,87.0
J. Castillo,Pachuca,LATERAL,MEX,2.29,1.81,0.97,-0.17,-0.7,-0.76,98.0,87.0,81.0,54.0,43.0,28.0
P. Bennevendo,Pumas UNAM,LATERAL,MEX,0.38,2.59,-1.41,-0.35,0.25,-0.96,63.0,98.0,11.0,39.0,67.0,19.0
B. Colula,Mazatlán,LATERAL,MEX,-0.49,0.02,-0.1,-0.17,0.28,-1.06,37.0,50.0,52.0,50.0,70.0,9.0
I. Govea,Santos Laguna,LATERAL,MEX,-1.47,0.12,-0.75,-1.03,-1.39,-0.85,15.0,59.0,24.0,22.0,15.0,20.0
M. Isaís,Toluca,LATERAL,MEX,1.1,0.06,0.38,-0.11,-1.81,0.96,81.0,54.0,69.0,56.0,7.0,83.0
M. Layún,América,LATERAL,MEX,-0.86,-3.59,-0.82,1.39,0.45,-0.48,26.0,4.0,20.0,91.0,72.0,43.0
O. Mendoza,Querétaro,LATERAL,MEX,-0.64,0.7,-0.43,1.22,-0.55,-0.97,35.0,69.0,37.0,87.0,48.0,17.0
