,Atleta,Equipe Janela Análise,Posição,Liga,Dribles bem sucedidos /90,Dribles bem sucedidos /90_percentil,Drible,Drible_percentil
4200,E. Krasniqi,Rapid Bucureşti,EXTREMO,ROM,1.24,85,1.24,85
4201,C. Deac,CFR Cluj,EXTREMO,ROM,-1.33,2,-1.33,2
4202,Octavian Popescu,FCS Bucureşti,EXTREMO,ROM,-0.48,41,-0.48,41
4203,F. Bamgboye,Rapid Bucureşti,EXTREMO,ROM,0.0,59,0.0,59
4204,A. Băluță,FCS Bucureşti,EXTREMO,ROM,-1.08,17,-1.08,17
4205,C. Micovschi,UTA Arad,EXTREMO,ROM,-1.16,12,-1.16,12
4206,W. Baeten,U Craiova 1948,EXTREMO,ROM,-1.19,7,-1.19,7
4207,I. Stoica,Hermannstadt,EXTREMO,ROM,-0.91,22,-0.91,22
4208,F. Coman,FCS Bucureşti,EXTREMO,ROM,1.62,93,1.62,93
4209,A. Musi,Petrolul 52,EXTREMO,ROM,1.17,83,1.17,83
4210,Frédéric Maciel,Oţelul,EXTREMO,ROM,0.47,73,0.47,73
4211,S. Balaure,Hermannstadt,EXTREMO,ROM,-1.18,10,-1.18,10
4212,M. Ştefănescu,Sepsi,EXTREMO,ROM,-0.4,44,-0.4,44
4213,G. Grozav,Petrolul 52,EXTREMO,ROM,-1.27,5,-1.27,5
4214,A. Mitriță,Universitatea Craiova,EXTREMO,ROM,1.44,88,1.44,88
4215,T. Bongonda,Spartak Moskva,EXTREMO,RUS,1.34,90,1.34,90
4216,A. Fayzullaev,CSKA Moskva,EXTREMO,RUS,-0.33,50,-0.33,50
4217,R. Ezhov,Krylya Sovetov,EXTREMO,RUS,-0.34,45,-0.34,45
4218,O. Olusegun,Krasnodar,EXTREMO,RUS,-0.74,25,-0.74,25
4219,A. Zinkovskiy,Spartak Moskva,EXTREMO,RUS,2.07,100,2.07,100
4220,E. Kharin,Akhmat Grozny,EXTREMO,RUS,-1.2,10,-1.2,10
4221,K. Bayramyan,Rostov,EXTREMO,RUS,-0.87,20,-0.87,20
4222,N. Burmistrov,Sochi,EXTREMO,RUS,-0.25,60,-0.25,60
4223,Gustavo Mantuan,Zenit,EXTREMO,RUS,-0.27,55,-0.27,55
4224,S. Pinyaev,Lokomotiv Moskva,EXTREMO,RUS,1.75,95,1.75,95
4225,B. Berisha,Akhmat Grozny,EXTREMO,RUS,1.22,85,1.22,85
4226,R. Magal,Fakel,EXTREMO,RUS,-0.09,70,-0.09,70
4227,B. Mansilla,Orenburg,EXTREMO,RUS,0.74,75,0.74,75
4228,N. Rasskazov,Krylya Sovetov,EXTREMO,RUS,-1.67,5,-1.67,5
4229,M. Ngamaleu,Dinamo Moskva,EXTREMO,RUS,1.18,80,1.18,80
4230,M. Kramarič,Sochi,EXTREMO,RUS,-0.87,15,-0.87,15
4231,M. Mohebi,Rostov,EXTREMO,RUS,-0.41,40,-0.41,40
4232,V. Iljin,Akhmat Grozny,EXTREMO,RUS,-0.6,30,-0.6,30
4233,N. Saltykov,Krylya Sovetov,EXTREMO,RUS,-0.21,65,-0.21,65
4234,Batxi,Krasnodar,EXTREMO,RUS,-0.44,35,-0.44,35
4235,Hazzaa Al Ghamdi,Al Wehda,EXTREMO,SAUD,-1.1,17,-1.1,17
4236,Abdullah Ibrahim Al Dossary,Al Riyadh,EXTREMO,SAUD,-0.77,25,-0.77,25
4237,Ayman Yahya,Al Nassr,EXTREMO,SAUD,-1.5,8,-1.5,8
4238,Nawaf Al Habashi,Al Hazem,EXTREMO,SAUD,1.53,94,1.53,94
4239,Jota,Al Ittihad,EXTREMO,SAUD,0.62,73,0.62,73
4240,Hussain Al Eisa,Al Wehda,EXTREMO,SAUD,0.12,58,0.12,58
4241,Abdulaziz Al Bishi,Dhamk,EXTREMO,SAUD,0.63,75,0.63,75
4242,Salman Al Muwashar,Al Ta'ee,EXTREMO,SAUD,-0.27,40,-0.27,40
4243,Yahya Sunbul,Al Raed,EXTREMO,SAUD,-1.14,12,-1.14,12
4244,Juanmi,Cádiz,EXTREMO,SAUD,-1.72,4,-1.72,4
4245,Ahmed Bahusayn,Al Taawon,EXTREMO,SAUD,-1.03,19,-1.03,19
4246,V. van Crooij,Al Wehda,EXTREMO,SAUD,-1.61,6,-1.61,6
4247,Sumayhan Al Nabit,Al Ahli,EXTREMO,SAUD,0.22,62,0.22,62
4248,Hattan Bahebri,Al Shabab,EXTREMO,SAUD,-0.1,52,-0.1,52
4249,Saleh Al Amri,Al Ittihad,EXTREMO,SAUD,-0.4,31,-0.4,31
4250,Igor Coronado,Corinthians,EXTREMO,SAUD,0.23,65,0.23,65
4251,Abdulhadi Al Harajin,Al Riyadh,EXTREMO,SAUD,-0.2,42,-0.2,42
4252,Yehya Al Shehri,Al Riyadh,EXTREMO,SAUD,-1.95,2,-1.95,2
4253,M. Barrow,Al Taawon,EXTREMO,SAUD,-0.13,48,-0.13,48
4254,Abdulrahman Ghareeb,Al Nassr,EXTREMO,SAUD,0.08,54,0.08,54
4255,C. Goodwin,Al Wehda,EXTREMO,SAUD,-1.49,10,-1.49,10
4256,Talisca,Al Nassr,EXTREMO,SAUD,-0.49,29,-0.49,29
4257,Mateus,Al Taawon,EXTREMO,SAUD,-0.19,44,-0.19,44
4258,Sultan Mandash,Al Feiha,EXTREMO,SAUD,-0.19,46,-0.19,46
4259,Ahmed Al Zain,Dhamk,EXTREMO,SAUD,-0.65,27,-0.65,27
4260,D. Gray,Al Ettifaq,EXTREMO,SAUD,1.76,96,1.76,96
4261,Mohammed Al Kuwaykibi,Al Taawon,EXTREMO,SAUD,0.93,85,0.93,85
4262,M. Batna,Al Fateh,EXTREMO,SAUD,2.32,100,2.32,100
4263,F. Kamano,Abha,EXTREMO,SAUD,-1.01,21,-1.01,21
4264,Abdulaziz Noor,Al Wehda,EXTREMO,SAUD,0.09,56,0.09,56
4265,Y. Carrasco,Al Shabab,EXTREMO,SAUD,1.41,92,1.41,92
4266,Mohammed Al Thani,Al Hazem,EXTREMO,SAUD,-1.1,15,-1.1,15
4267,F. Selemani,Al Hazem,EXTREMO,SAUD,0.61,71,0.61,71
4268,V. Misidjan,Al Ta'ee,EXTREMO,SAUD,0.85,81,0.85,81
4269,A. Cordea,Al Ta'ee,EXTREMO,SAUD,0.35,69,0.35,69
4270,H. Onyekuru,Al Feiha,EXTREMO,SAUD,-0.38,33,-0.38,33
4271,S. Godwin,Al Akhdoud,EXTREMO,SAUD,0.84,79,0.84,79
4272,Salem Al Dawsari,Al Hilal,EXTREMO,SAUD,0.26,67,0.26,67
4273,Romarinho,Al Ittihad,EXTREMO,SAUD,-0.96,23,-0.96,23
4274,A. Saint-Maximin,Al Ahli,EXTREMO,SAUD,2.32,98,2.32,98
4275,Michael,Al Hilal,EXTREMO,SAUD,1.05,90,1.05,90
4276,K. Narey,Al Khaleej,EXTREMO,SAUD,0.18,60,0.18,60
4277,Cristian Tello,Al Fateh,EXTREMO,SAUD,0.87,83,0.87,83
4278,G. Nkoudou,Dhamk,EXTREMO,SAUD,0.83,77,0.83,77
4279,Fábio Martins,Al Khaleej,EXTREMO,SAUD,-0.3,38,-0.3,38
4280,S. Mané,Al Nassr,EXTREMO,SAUD,0.99,88,0.99,88
4281,Álex Collado,Al Akhdoud,EXTREMO,SAUD,-0.11,50,-0.11,50
4282,R. Mahrez,Al Ahli,EXTREMO,SAUD,-0.32,35,-0.32,35
4283,J. Hoilett,Aberdeen,EXTREMO,SCT,0.1,64,0.1,64
4284,Yang Hyun-Jun,Celtic,EXTREMO,SCT,2.21,95,2.21,95
4285,Fábio Silva,Rangers,EXTREMO,SCT,-0.74,23,-0.74,23
4286,J. Sims,Ross County,EXTREMO,SCT,-0.14,55,-0.14,55
4287,Y. Oda,Hearts,EXTREMO,SCT,-0.17,50,-0.17,50
4288,D. Sterling,Rangers,EXTREMO,SCT,-0.5,32,-0.5,32
4289,M. Maolida,Hibernian,EXTREMO,SCT,0.22,73,0.22,73
4290,Jair Tavares,Hibernian,EXTREMO,SCT,-0.42,36,-0.42,36
4291,L. Palma,Celtic,EXTREMO,SCT,2.3,100,2.3,100
4292,R. McCausland,Rangers,EXTREMO,SCT,-0.06,59,-0.06,59
4293,D. Costelloe,Dundee,EXTREMO,SCT,-1.04,18,-1.04,18
4294,A. Sima,Rangers,EXTREMO,SCT,-0.2,45,-0.2,45
4295,C. McMenamin,St. Mirren,EXTREMO,SCT,0.16,68,0.16,68
4296,A. Forrest,Hearts,EXTREMO,SCT,0.56,82,0.56,82
4297,D. Maeda,Celtic,EXTREMO,SCT,-0.29,41,-0.29,41
4298,E. Youan,Hibernian,EXTREMO,SCT,0.56,77,0.56,77
4299,M. Boyle,Hibernian,EXTREMO,SCT,-0.59,27,-0.59,27
4300,G. Kiltie,St. Mirren,EXTREMO,SCT,-1.52,5,-1.52,5
4301,M. Kennedy,Kilmarnock,EXTREMO,SCT,0.85,86,0.85,86
4302,J. McGrath,Aberdeen,EXTREMO,SCT,-1.31,14,-1.31,14
4303,G. Carey,St. Johnstone,EXTREMO,SCT,-1.37,9,-1.37,9
4304,D. Armstrong,Kilmarnock,EXTREMO,SCT,1.39,91,1.39,91
4305,D. Stoiljković,Napredak Kruševac,EXTREMO,SER,-0.93,18,-0.93,18
4306,Srdjan Kocic,Larissa,EXTREMO,SER,-1.21,16,-1.21,16
4307,S. Jovanović,Železničar Pancevo,EXTREMO,SER,1.53,93,1.53,93
4308,J. Anđelković,Radnik Surdulica,EXTREMO,SER,-1.25,13,-1.25,13
4309,A. Lutovac,IMT Novi Beograd,EXTREMO,SER,-0.41,36,-0.41,36
4310,N. Srećković,Novi Pazar,EXTREMO,SER,-0.25,49,-0.25,49
4311,L. Jovanović,Radnik Surdulica,EXTREMO,SER,-2.2,2,-2.2,2
4312,Young-Jun Goh,Partizan,EXTREMO,SER,-0.42,33,-0.42,33
4313,V. Duric,Radnički Kragujevac,EXTREMO,SER,-0.5,29,-0.5,29
4314,A. Blagojević,Napredak Kruševac,EXTREMO,SER,-1.48,9,-1.48,9
4315,N. Tomašević,Radnik Surdulica,EXTREMO,SER,-0.67,22,-0.67,22
4316,C. Zady Sery,Vojvodina,EXTREMO,SER,0.72,78,0.72,78
4317,N. Krstić,IMT Novi Beograd,EXTREMO,SER,-1.57,7,-1.57,7
4318,S. Čolović,Radnički Niš,EXTREMO,SER,0.31,62,0.31,62
4319,D. Yusuf,Radnički Niš,EXTREMO,SER,-0.39,40,-0.39,40
4320,D. Jovanović,Napredak Kruševac,EXTREMO,SER,-0.41,38,-0.41,38
4321,I. Babić,Spartak Subotica,EXTREMO,SER,0.67,73,0.67,73
4322,F. Malbašić,Vojvodina,EXTREMO,SER,0.59,71,0.59,71
4323,M. Ergelas,Čukarički,EXTREMO,SER,-0.54,24,-0.54,24
4324,M. Gluščević,Radnički Kragujevac,EXTREMO,SER,0.25,58,0.25,58
4325,I. Tanko,Maccabi Netanya,EXTREMO,SER,-0.21,51,-0.21,51
4326,N. Campbell,Vojvodina,EXTREMO,SER,0.19,56,0.19,56
4327,N. Vujanović,Voždovac,EXTREMO,SER,0.36,67,0.36,67
4328,L. Adžić,Čukarički,EXTREMO,SER,0.84,84,0.84,84
4329,X. Severina,Partizan,EXTREMO,SER,2.6,100,2.6,100
4330,B. Nikčević,Čukarički,EXTREMO,SER,-0.86,20,-0.86,20
4331,V. Bogdanović,Radnik Surdulica,EXTREMO,SER,-1.6,4,-1.6,4
4332,M. Ivanić,Crvena Zvezda,EXTREMO,SER,1.18,91,1.18,91
4333,N. Bastajić,Napredak Kruševac,EXTREMO,SER,0.49,69,0.49,69
4334,M. Vidosavljević,Radnički Kragujevac,EXTREMO,SER,-0.32,47,-0.32,47
4335,A. Adeshina,Novi Pazar,EXTREMO,SER,-1.37,11,-1.37,11
4336,O. Bukari,Crvena Zvezda,EXTREMO,SER,1.99,98,1.99,98
4337,J. Flemmings,Voždovac,EXTREMO,SER,0.91,87,0.91,87
4338,A. Kalulu,Partizan,EXTREMO,SER,-0.36,42,-0.36,42
4339,N. Belaković,Radnički Niš,EXTREMO,SER,-0.02,53,-0.02,53
4340,A. Radulović,Vojvodina,EXTREMO,SER,0.32,64,0.32,64
4341,B. Duronjić,Radnik Surdulica,EXTREMO,SER,-0.42,31,-0.42,31
4342,K. Bevis,Radnički Kragujevac,EXTREMO,SER,0.8,82,0.8,82
4343,R. Bosić,Javor Ivanjica,EXTREMO,SER,0.77,80,0.77,80
4344,A. Ćirković,Bačka Topola,EXTREMO,SER,0.71,76,0.71,76
4345,G. Zahid,Partizan,EXTREMO,SER,-0.35,44,-0.35,44
4346,V. Radočaj,IMT Novi Beograd,EXTREMO,SER,-0.5,27,-0.5,27
4347,A. Todoroski,Spartak Subotica,EXTREMO,SER,1.04,89,1.04,89
4348,D. Ivanović,Čukarički,EXTREMO,SER,0.26,60,0.26,60
4349,M. Nešković,Voždovac,EXTREMO,SER,1.73,96,1.73,96
4350,José Callejón,Granada,EXTREMO,SPA1,-1.49,4,-1.49,4
4351,D. Machís,Cádiz,EXTREMO,SPA1,0.56,70,0.56,70
4352,Carles Pérez,Celta de Vigo,EXTREMO,SPA1,0.56,69,0.56,69
4353,Assane Diao,Real Betis,EXTREMO,SPA1,-0.42,43,-0.42,43
4354,Carlos Vicente,Deportivo Alavés,EXTREMO,SPA1,-1.02,20,-1.02,20
4355,A. Ezzalzouli,Real Betis,EXTREMO,SPA1,0.91,80,0.91,80
4356,Óscar Melendo,Granada,EXTREMO,SPA1,-1.35,6,-1.35,6
4357,Pablo Fornals,Real Betis,EXTREMO,SPA1,-0.72,35,-0.72,35
4358,Óscar Rodríguez,Getafe,EXTREMO,SPA1,-0.9,26,-0.9,26
4359,D. Lukébakio,Sevilla,EXTREMO,SPA1,1.04,85,1.04,85
4360,Carles Aleñà,Getafe,EXTREMO,SPA1,-1.66,2,-1.66,2
4361,F. Pellistri,Granada,EXTREMO,SPA1,0.01,48,0.01,48
4362,Rodri,Real Betis,EXTREMO,SPA1,0.96,83,0.96,83
4363,A. Zakharyan,Real Sociedad,EXTREMO,SPA1,-1.09,17,-1.09,17
4364,Sergi Canós,Valencia,EXTREMO,SPA1,-0.88,33,-0.88,33
4365,E. Ávila,Real Betis,EXTREMO,SPA1,-0.53,41,-0.53,41
4366,Ferrán Torres,Barcelona,EXTREMO,SPA1,-1.12,13,-1.12,13
4367,Álex Sola,Deportivo Alavés,EXTREMO,SPA1,0.11,52,0.11,52
4368,Antonio Sánchez,Mallorca,EXTREMO,SPA1,-1.23,7,-1.23,7
4369,Raphinha,Barcelona,EXTREMO,SPA1,-0.31,44,-0.31,44
4370,Ander Barrenetxea,Real Sociedad,EXTREMO,SPA1,0.92,81,0.92,81
4371,Ilias Akhomach,Villarreal,EXTREMO,SPA1,1.51,91,1.51,91
4372,Brahim Diaz,Real Madrid,EXTREMO,SPA1,1.08,87,1.08,87
4373,João Félix,Barcelona,EXTREMO,SPA1,0.46,67,0.46,67
4374,Jorge de Frutos,Rayo Vallecano,EXTREMO,SPA1,-0.9,28,-0.9,28
4375,L. Ramazani,Almería,EXTREMO,SPA1,0.29,59,0.29,59
4376,Suso,Sevilla,EXTREMO,SPA1,0.35,63,0.35,63
4377,Rubén García,Osasuna,EXTREMO,SPA1,-1.02,19,-1.02,19
4378,Bryan Zaragoza,Bayern München,EXTREMO,SPA1,1.55,93,1.55,93
4379,Álex Berenguer,Athletic Bilbao,EXTREMO,SPA1,0.32,61,0.32,61
4380,Iván Alejo,Cádiz,EXTREMO,SPA1,0.13,56,0.13,56
4381,Alberto Moleiro,Las Palmas,EXTREMO,SPA1,-0.08,46,-0.08,46
4382,Robert Navarro,Cádiz,EXTREMO,SPA1,0.58,72,0.58,72
4383,Rubén Sobrino,Cádiz,EXTREMO,SPA1,-0.88,31,-0.88,31
4384,Marvin Park,Las Palmas,EXTREMO,SPA1,-0.69,37,-0.69,37
4385,J. Bamba,Celta de Vigo,EXTREMO,SPA1,0.61,76,0.61,76
4386,Fran Pérez,Valencia,EXTREMO,SPA1,0.22,57,0.22,57
4387,V. Tsygankov,Girona,EXTREMO,SPA1,-0.66,39,-0.66,39
4388,Lamine Yamal,Barcelona,EXTREMO,SPA1,1.63,94,1.63,94
4389,Nico Williams,Athletic Bilbao,EXTREMO,SPA1,2.22,100,2.22,100
4390,T. Kubo,Real Sociedad,EXTREMO,SPA1,1.88,96,1.88,96
4391,J. Bellingham,Real Madrid,EXTREMO,SPA1,0.12,54,0.12,54
4392,Munir El Haddadi,Las Palmas,EXTREMO,SPA1,-1.19,9,-1.19,9
4393,Ayoze Pérez,Real Betis,EXTREMO,SPA1,0.6,74,0.6,74
4394,Luis Rioja,Deportivo Alavés,EXTREMO,SPA1,0.07,50,0.07,50
4395,Álvaro García,Rayo Vallecano,EXTREMO,SPA1,-1.13,11,-1.13,11
4396,Álex Baena,Villarreal,EXTREMO,SPA1,-0.95,24,-0.95,24
4397,Adri Embarba,Almería,EXTREMO,SPA1,0.37,65,0.37,65
4398,M. Greenwood,Getafe,EXTREMO,SPA1,1.22,89,1.22,89
4399,Dani Rodríguez,Mallorca,EXTREMO,SPA1,-0.97,22,-0.97,22
4400,Diego López,Valencia,EXTREMO,SPA1,-0.89,30,-0.89,30
4401,Isi Palazón,Rayo Vallecano,EXTREMO,SPA1,-1.1,15,-1.1,15
4402,Sávio,Girona,EXTREMO,SPA1,2.04,98,2.04,98
4403,Iñaki Williams,Athletic Bilbao,EXTREMO,SPA1,0.82,78,0.82,78
4404,Arnau Ortiz,Cartagena,EXTREMO,SPA2,1.05,89,1.05,89
4405,Óscar Pinchi,Racing Ferrol,EXTREMO,SPA2,-0.15,49,-0.15,49
4406,Salvi Sánchez,Espanyol,EXTREMO,SPA2,-0.09,53,-0.09,53
4407,Juanma Bravo,Alcorcón,EXTREMO,SPA2,-1.1,11,-1.1,11
4408,Juan Cruz,Leganés,EXTREMO,SPA2,1.53,90,1.53,90
4409,A. Tuhami,Real Valladolid,EXTREMO,SPA2,-0.97,18,-0.97,18
4410,H. Hevel,Guangxi Pingguo Haliao,EXTREMO,SPA2,-1.2,7,-1.2,7
4411,I. Jansson,Rapid Wien,EXTREMO,SPA2,0.37,75,0.37,75
4412,Manu Vallejo,Real Zaragoza,EXTREMO,SPA2,-0.69,31,-0.69,31
4413,Nico Serrano,Racing Ferrol,EXTREMO,SPA2,2.42,99,2.42,99
4414,N. Djouahra,Leganés,EXTREMO,SPA2,-0.58,33,-0.58,33
4415,J. Dubasin,Real Oviedo,EXTREMO,SPA2,-0.93,21,-0.93,21
4416,Jordi Mboula,Racing Santander,EXTREMO,SPA2,0.27,69,0.27,69
4417,Cris Montes,Eldense,EXTREMO,SPA2,-0.35,39,-0.35,39
4418,Edu Expósito,Espanyol,EXTREMO,SPA2,-0.96,19,-0.96,19
4419,Lago Júnior,Racing Santander,EXTREMO,SPA2,-0.61,32,-0.61,32
4420,Sergio Bermejo,Elche,EXTREMO,SPA2,-0.3,40,-0.3,40
4421,Rayco Rodríguez,Amorebieta,EXTREMO,SPA2,-0.51,35,-0.51,35
4422,Teto,Tenerife,EXTREMO,SPA2,-1.06,14,-1.06,14
4423,J. Narváez,Cartagena,EXTREMO,SPA2,-0.85,26,-0.85,26
4424,Andrés Martín,Racing Santander,EXTREMO,SPA2,0.01,57,0.01,57
4425,Álex Calvo,FC Andorra,EXTREMO,SPA2,1.04,88,1.04,88
4426,Waldo Rubio,Tenerife,EXTREMO,SPA2,0.1,58,0.1,58
4427,Álex Bermejo,Burgos,EXTREMO,SPA2,0.13,60,0.13,60
4428,S. Cissé,Leganés,EXTREMO,SPA2,-1.16,10,-1.16,10
4429,Paulino de la Fuente,Real Oviedo,EXTREMO,SPA2,0.79,83,0.79,83
4430,Fran Villalba,Sporting Gijón,EXTREMO,SPA2,-0.91,22,-0.91,22
4431,Ander Martín,Burgos,EXTREMO,SPA2,-0.9,24,-0.9,24
4432,Y. Rahmani,Tenerife,EXTREMO,SPA2,0.31,71,0.31,71
4433,Masca,Real Oviedo,EXTREMO,SPA2,-1.17,8,-1.17,8
4434,Raúl Moro,Real Valladolid,EXTREMO,SPA2,2.26,97,2.26,97
4435,Hugo Vallejo,Huesca,EXTREMO,SPA2,0.84,85,0.84,85
4436,Carlos Vicente,Deportivo Alavés,EXTREMO,SPA2,0.47,78,0.47,78
4437,Joni Montiel,Burgos,EXTREMO,SPA2,-0.37,38,-0.37,38
4438,Carlos Álvarez,Levante,EXTREMO,SPA2,-0.25,43,-0.25,43
4439,Rodri Alonso,Villarreal B,EXTREMO,SPA2,-1.47,1,-1.47,1
4440,Jofre Carreras,Espanyol,EXTREMO,SPA2,0.44,76,0.44,76
4441,Luismi Cruz,Tenerife,EXTREMO,SPA2,-0.09,51,-0.09,51
4442,Héber Pena,Racing Ferrol,EXTREMO,SPA2,0.71,82,0.71,82
4443,Jesús Clemente,Eldense,EXTREMO,SPA2,-1.07,12,-1.07,12
4444,Joaquín Muñoz,Huesca,EXTREMO,SPA2,0.15,61,0.15,61
4445,Jon Morcillo,Amorebieta,EXTREMO,SPA2,-0.1,50,-0.1,50
4446,Dani Ojeda,Burgos,EXTREMO,SPA2,-1.04,15,-1.04,15
4447,Álex Sancris,Burgos,EXTREMO,SPA2,0.98,86,0.98,86
4448,E. Addai,Alcorcón,EXTREMO,SPA2,2.1,96,2.1,96
4449,José Corpas,Eibar,EXTREMO,SPA2,-0.26,42,-0.26,42
4450,Dani Raba,Leganés,EXTREMO,SPA2,-0.23,44,-0.23,44
4451,Gerard Valentín,Huesca,EXTREMO,SPA2,1.71,92,1.71,92
4452,Germán Valera,Real Zaragoza,EXTREMO,SPA2,0.35,74,0.35,74
4453,Iker Benito,FC Andorra,EXTREMO,SPA2,0.26,68,0.26,68
4454,H. Hassan,Sporting Gijón,EXTREMO,SPA2,3.29,100,3.29,100
4455,Portillo,Leganés,EXTREMO,SPA2,-1.41,3,-1.41,3
4456,Iván Sánchez,Real Valladolid,EXTREMO,SPA2,1.83,93,1.83,93
4457,Iván Chapela,Eldense,EXTREMO,SPA2,-0.4,36,-0.4,36
4458,Agus Medina,Albacete,EXTREMO,SPA2,-1.22,6,-1.22,6
4459,Jacobo González,Alcorcón,EXTREMO,SPA2,-0.16,47,-0.16,47
4460,Julen Lobete,FC Andorra,EXTREMO,SPA2,0.25,67,0.25,67
4461,Gaspar Campos,Sporting Gijón,EXTREMO,SPA2,-0.77,29,-0.77,29
4462,Victor García,Alcorcón,EXTREMO,SPA2,-0.04,56,-0.04,56
4463,Javi Puado,Espanyol,EXTREMO,SPA2,-1.03,17,-1.03,17
4464,Sebas Moyano,Real Oviedo,EXTREMO,SPA2,0.22,65,0.22,65
4465,I. Chaira,Mirandés,EXTREMO,SPA2,0.17,64,0.17,64
4466,Ager Aketxe,Eibar,EXTREMO,SPA2,-0.79,28,-0.79,28
4467,Javi Martínez,Huesca,EXTREMO,SPA2,-0.86,25,-0.86,25
4468,Javi Ontiveros,Villarreal B,EXTREMO,SPA2,1.9,94,1.9,94
4469,N. Fernández Mercau,Elche,EXTREMO,SPA2,0.56,79,0.56,79
4470,Stoichkov,Eibar,EXTREMO,SPA2,-1.36,4,-1.36,4
4471,Josué Dorrio,Amorebieta,EXTREMO,SPA2,-0.18,46,-0.18,46
4472,Gabri Martínez,Mirandés,EXTREMO,SPA2,0.69,81,0.69,81
4473,Tete Morente,Elche,EXTREMO,SPA2,0.16,62,0.16,62
4474,Iñigo Vicente,Racing Santander,EXTREMO,SPA2,0.33,72,0.33,72
4475,Manu Fuster,Albacete,EXTREMO,SPA2,-0.09,54,-0.09,54
4476,M. Borchers,VPS,EXTREMO,SWE,-1.1,13,-1.1,13
4477,S. Jørgensen,Malmö FF,EXTREMO,SWE,-0.99,23,-0.99,23
4478,S. Vecchia,Malmö FF,EXTREMO,SWE,0.64,77,0.64,77
4479,G. Wikheim,Djurgården,EXTREMO,SWE,1.14,87,1.14,87
4480,G. Lundgren,GAIS,EXTREMO,SWE,0.57,70,0.57,70
4481,M. Sonko,Gent,EXTREMO,SWE,1.16,90,1.16,90
4482,N. Milleskog,Sirius,EXTREMO,SWE,-0.64,37,-0.64,37
4483,K. Karlsson,Bologna U19,EXTREMO,SWE,-1.3,7,-1.3,7
4484,Z. Inoussa,Häcken,EXTREMO,SWE,0.66,83,0.66,83
4485,T. Ayari,AIK,EXTREMO,SWE,0.25,63,0.25,63
4486,S. Hedlund,Elfsborg,EXTREMO,SWE,-1.29,10,-1.29,10
4487,H. Radetinac,Djurgården,EXTREMO,SWE,-0.82,27,-0.82,27
4488,V. Lind,Vejle,EXTREMO,SWE,-0.71,30,-0.71,30
4489,V. Djukanović,Hammarby,EXTREMO,SWE,1.96,97,1.96,97
4490,J. Okkels,Utrecht,EXTREMO,SWE,-0.13,50,-0.13,50
4491,A. Ademi,Tianjin Tigers,EXTREMO,SWE,2.39,100,2.39,100
4492,B. Celina,AIK,EXTREMO,SWE,-0.65,33,-0.65,33
4493,J. Persson,Sirius,EXTREMO,SWE,-0.21,47,-0.21,47
4494,O. Fallenius,Djurgården,EXTREMO,SWE,0.1,57,0.1,57
4495,E. Ahlstrand,St. Pauli,EXTREMO,SWE,0.37,67,0.37,67
4496,J. Trenskow,Kalmar,EXTREMO,SWE,-0.62,40,-0.62,40
4497,T. Ali,Malmö FF,EXTREMO,SWE,1.71,93,1.71,93
4498,O. Pettersson,IFK Göteborg,EXTREMO,SWE,-1.09,17,-1.09,17
4499,A. Layouni,Häcken,EXTREMO,SWE,0.66,80,0.66,80
4500,A. Mucolli,IFK Göteborg,EXTREMO,SWE,0.62,73,0.62,73
4501,G. Engvall,Värnamo,EXTREMO,SWE,0.16,60,0.16,60
4502,M. Heier,Sirius,EXTREMO,SWE,-0.35,43,-0.35,43
4503,T. Santos,IFK Göteborg,EXTREMO,SWE,0.1,53,0.1,53
4504,Rui Modesto,AIK,EXTREMO,SWE,-1.09,20,-1.09,20
4505,S. Skrabb,Kalmar,EXTREMO,SWE,-1.49,3,-1.49,3
4506,D. Rrudhani,Lausanne Sport,EXTREMO,SWZ,-1.17,13,-1.17,13
4507,T. Corbeanu,Granada,EXTREMO,SWZ,2.36,97,2.36,97
4508,Mauro Rodrigues,Yverdon Sport,EXTREMO,SWZ,1.06,90,1.06,90
4509,J. Gauto,Basel,EXTREMO,SWZ,-0.59,32,-0.59,32
4510,E. Colley,Young Boys,EXTREMO,SWZ,-0.17,55,-0.17,55
4511,A. Mabil,Grasshopper,EXTREMO,SWZ,-1.02,19,-1.02,19
4512,M. Bottani,Lugano,EXTREMO,SWZ,-0.18,52,-0.18,52
4513,S. Ballet,Como,EXTREMO,SWZ,0.86,77,0.86,77
4514,H. Mahou,Lugano,EXTREMO,SWZ,0.89,81,0.89,81
4515,L. Mulaj,Stade Lausanne-Ouchy,EXTREMO,SWZ,-0.19,48,-0.19,48
4516,P. Schürpf,Grasshopper,EXTREMO,SWZ,-1.5,3,-1.5,3
4517,J. von Moos,St. Gallen,EXTREMO,SWZ,0.93,87,0.93,87
4518,S. Kalu,Lausanne Sport,EXTREMO,SWZ,1.17,94,1.17,94
4519,M. Aké,Yverdon Sport,EXTREMO,SWZ,0.63,74,0.63,74
4520,C. Lungoyi,Yverdon Sport,EXTREMO,SWZ,0.53,71,0.53,71
4521,F. de Carvalho,Grasshopper,EXTREMO,SWZ,-0.15,58,-0.15,58
4522,B. Bolla,Servette,EXTREMO,SWZ,-0.86,23,-0.86,23
4523,R. Ilie,Lausanne Sport,EXTREMO,SWZ,0.23,68,0.23,68
4524,N. Burkart,Winterthur,EXTREMO,SWZ,-0.85,26,-0.85,26
4525,V. Taşar,Yverdon Sport,EXTREMO,SWZ,0.04,61,0.04,61
