Atleta,Equipe Janela Análise,Posição,Liga,Participação,Recomposição,Retenção Posse,Arranque,Bola aérea,Último passe,Finalização,Drible,Oportunismo,Participação_percentil,Recomposição_percentil,Retenção_posse_percentil,Arranque_percentil,Bola_aérea_percentil,ùltimo_passe_percentil,Finalização_percentil,Drible_percentil,Oportunismo_percentil
Deyverson,Cuiabá,ATACANTE,BRA1,-1.01,-1.47,0.32,-0.86,2.77,-1.2,1.29,-0.61,-0.46,29,20,63,34,98,27,76,27,37
Hulk,Atlético Mineiro,ATACANTE,BRA1,1.82,-0.13,1.72,0.84,0.0,3.74,-0.3,2.23,1.53,93,51,93,76,61,95,46,98,76
Paulinho,Atlético Mineiro,ATACANTE,BRA1,2.04,1.69,1.87,3.25,-1.05,0.06,2.41,0.46,0.88,95,88,95,98,29,66,100,78,66
Saulo Mineiro,Ceará,ATACANTE,BRA2,-0.81,0.42,-1.25,0.72,-1.39,-2.1,-2.22,0.77,-2.06,29,67,15,71,19,4,6,83,4
Bissoli,Ceará,ATACANTE,BRA2,-0.62,-0.82,-0.52,0.22,-0.71,-0.28,0.5,-0.94,0.23,38,42,42,46,33,48,62,15,60
Camilo,Mirassol,ATACANTE,BRA2,0.64,0.5,0.64,0.65,-1.24,1.73,-1.41,-0.35,-1.39,75,69,73,67,21,85,25,44,23
Jenison,Grêmio Novorizontino,ATACANTE,BRA2,0.32,0.79,0.39,1.4,-0.11,2.82,-3.99,-0.07,-2.84,67,73,69,92,52,96,2,54,2
Wallyson,ABC,ATACANTE,BRA2,-1.11,-1.19,0.0,-0.42,-0.63,-0.92,-1.84,-0.25,-0.35,23,29,56,35,35,40,12,48,44
Edson Cariús,Botafogo SP,ATACANTE,BRA2,-1.42,-1.02,-1.89,-2.34,-0.49,0.64,-1.63,-1.13,-1.68,17,35,4,6,42,65,19,10,15
Fabrício Daniel,Coritiba,ATACANTE,BRA2,1.43,2.09,0.28,0.68,-2.27,3.45,1.33,3.33,0.44,83,90,65,69,6,100,88,100,69
Matheus Cadorini,Ituano,ATACANTE,BRA2,-1.7,-2.17,-1.28,-1.91,1.67,-0.29,0.4,-1.42,0.16,6,8,12,10,92,46,58,6,58
Gabriel Taliari,Juventude,ATACANTE,BRA2,-0.5,0.32,-1.12,0.31,-0.87,-1.66,2.58,0.04,4.34,48,65,17,50,29,21,94,58,96
Rômulo,CRB,ATACANTE,BRA2,0.46,1.52,1.02,1.21,-0.06,1.71,-1.42,0.26,-1.53,73,83,83,83,54,83,23,65,17
Felipe Garcia,Operário PR,ATACANTE,BRA2,0.39,0.91,-0.55,-2.97,1.49,-1.75,-1.74,0.25,-1.87,69,77,40,4,85,17,17,62,10
Iury Castilho,Vitória,ATACANTE,BRA2,0.79,-0.24,0.26,1.39,-1.62,1.56,0.05,2.01,-2.04,77,54,62,90,15,79,48,98,6
Hygor,Criciúma,ATACANTE,BRA2,-0.11,1.74,-0.84,0.22,1.48,-0.02,0.62,-0.38,-0.25,56,85,29,48,81,50,67,40,48
Cristian,Mirassol,ATACANTE,BRA2,-0.06,-0.22,0.1,-0.56,1.79,-1.99,-0.35,-0.64,-0.02,58,56,58,31,96,8,40,33,54
Paulo Sérgio,ABC,ATACANTE,BRA2,-0.58,-1.26,-0.03,0.01,-0.61,-1.97,-0.13,-0.65,0.34,42,25,54,44,38,12,44,29,65
Paulo Victor,Chaves,ATACANTE,BRA2,0.86,3.2,0.76,1.6,1.33,-1.44,0.97,0.36,-1.0,79,96,77,94,79,25,77,69,29
Gabriel Poveda,Avaí,ATACANTE,BRA2,-2.12,-1.98,-1.76,-0.43,-2.12,0.7,0.0,-0.81,0.37,2,10,6,33,10,67,46,21,67
Vinícius Alves,Sampaio Corrêa,ATACANTE,BRA2,1.77,5.4,-0.03,2.45,-2.55,-0.68,-2.35,0.39,-0.52,88,98,52,98,4,42,4,71,42
Kayke,Chapecoense,ATACANTE,BRA2,-1.55,-2.52,-0.94,0.72,-2.0,0.08,-0.26,-0.7,-0.24,8,6,27,73,12,56,42,25,50
Alex Sandro,Tombense,ATACANTE,BRA2,-0.4,-1.1,-0.48,0.41,-0.84,2.27,0.85,0.62,0.06,50,33,44,58,31,92,73,79,56
Zé Roberto,Ceará,ATACANTE,BRA2,0.08,-1.44,0.86,-0.82,1.02,1.82,2.96,-0.32,4.9,65,21,81,29,77,88,100,46,100
Nicolas,Ceará,ATACANTE,BRA2,-1.16,-1.66,-0.26,-1.58,1.53,-1.32,0.06,-1.63,0.47,19,15,50,17,88,31,50,2,71
Jeh,Ponte Preta,ATACANTE,BRA2,-0.22,-0.12,-0.7,1.04,1.48,-1.05,-2.18,1.32,-1.48,52,60,35,79,83,38,8,90,19
Bruno Mendes,Guarani,ATACANTE,BRA2,-1.51,-1.4,-0.71,-1.58,0.3,-2.33,2.32,-0.5,1.6,15,23,33,15,62,2,92,35,90
Diego Quirino,Ituano,ATACANTE,BRA2,-0.52,-0.82,-1.02,-1.28,-0.45,-1.83,0.08,-0.37,-0.19,46,40,23,21,44,15,54,42,52
Igor Henrique,Água Santa,ATACANTE,BRA2,4.32,5.59,1.85,-0.88,0.79,0.03,0.41,1.87,0.91,100,100,94,27,69,52,60,96,81
Thonny Anderson,Red Bull Bragantino,ATACANTE,BRA2,2.19,3.2,1.73,1.14,-0.39,1.66,0.58,0.8,2.1,94,94,90,81,48,81,65,85,92
Léo Gamalho,Vitória,ATACANTE,BRA2,-1.0,-2.65,0.68,0.51,1.71,-1.53,1.99,-1.41,4.8,27,4,75,62,94,23,90,8,98
Felipe Vizeu,Criciúma,ATACANTE,BRA2,-0.73,-1.53,0.3,0.97,0.88,0.08,0.82,0.54,-1.42,33,17,67,75,71,54,71,75,21
Matheus Anjos,ABC,ATACANTE,BRA2,2.97,2.09,1.34,-0.31,-2.68,0.21,-1.84,1.42,-0.96,98,88,85,40,2,60,10,92,31
Rodrigo Rodrigues,ES Tunis,ATACANTE,BRA2,-2.01,-1.86,-0.64,-1.25,0.14,0.73,0.06,-0.91,0.99,4,12,38,23,58,69,52,17,83
Salatiel,Botafogo SP,ATACANTE,BRA2,-0.16,-0.51,-0.28,1.37,-0.16,-1.41,-1.09,-0.69,-1.36,54,50,46,88,50,29,27,27,25
Éder,Criciúma,ATACANTE,BRA2,-1.08,-3.01,-1.0,1.02,-2.27,0.57,1.11,0.58,0.71,25,2,25,77,8,62,83,77,77
Neto Pessôa,Vila Nova,ATACANTE,BRA2,0.45,1.4,0.59,1.34,1.59,0.97,-1.74,-0.85,-1.09,71,81,71,85,90,73,15,19,27
Eliel,Ponte Preta,ATACANTE,BRA2,-1.51,-0.55,-2.0,0.43,0.42,-1.44,-0.72,0.48,-0.69,12,48,2,60,65,27,31,73,40
Iago Dias,Londrina,ATACANTE,BRA2,-0.03,-0.46,-0.27,2.53,-0.44,-0.33,-1.42,1.76,-1.91,62,52,48,100,46,44,21,94,8
Fernandão,Tombense,ATACANTE,BRA2,-0.59,-1.47,1.74,0.38,4.95,-1.17,0.79,-0.64,1.09,40,19,92,56,100,35,69,31,88
Derek,Guarani,ATACANTE,BRA2,-0.81,0.76,-1.35,-0.09,0.14,-2.07,1.31,0.68,-0.3,31,71,10,42,60,6,85,81,46
Jorginho,Sport Recife,ATACANTE,BRA2,1.73,1.05,2.58,0.32,0.92,3.25,0.99,0.02,-0.95,85,79,98,54,75,98,79,56,33
Ronaldo,Grêmio Novorizontino,ATACANTE,BRA2,-0.05,-0.57,0.18,-1.31,0.03,1.42,-0.42,-1.13,0.52,60,46,60,19,56,77,38,12,75
Caio Dantas,Vila Nova,ATACANTE,BRA2,-0.54,0.89,-1.11,-1.8,-0.87,0.08,0.96,0.28,0.91,44,75,19,12,27,58,75,67,79
Osman,Botafogo SP,ATACANTE,BRA2,2.03,2.65,1.56,0.56,3.51,-1.98,-0.45,-0.43,-1.85,90,92,88,65,98,10,33,38,12
Gustavo Coutinho,Atlético GO,ATACANTE,BRA2,-0.66,-0.78,-0.73,-0.37,0.9,-1.7,2.6,-0.73,1.08,35,44,31,38,73,19,96,23,85
Ytalo,Sampaio Corrêa,ATACANTE,BRA2,-1.52,-1.19,-1.11,-3.35,-0.54,-1.25,2.79,-1.5,2.67,10,27,21,2,40,33,98,4,94
Bruno Nazário,Chapecoense,ATACANTE,BRA2,2.17,0.27,1.99,0.31,-0.96,2.81,-0.43,0.85,-0.69,92,62,96,52,23,94,35,88,38
Anselmo Ramon,CRB,ATACANTE,BRA2,0.89,-0.94,0.85,-0.98,0.65,1.24,0.36,-0.11,0.5,81,38,79,25,67,75,56,52,73
Vágner Love,Sport Recife,ATACANTE,BRA2,-1.16,-1.16,-1.44,-1.99,-0.93,0.77,1.05,0.14,0.3,21,31,8,8,25,71,81,60,62
Gabriel,Mirassol,ATACANTE,BRA2,2.78,-0.13,3.64,2.33,-1.49,1.88,-0.89,-0.21,-0.81,96,58,100,96,17,90,29,50,35
D. Balanyuk,Samgurali,ATACANTE,BUL,-1.45,-1.86,-0.91,0.42,0.68,0.75,0.81,-0.2,1.6,12,9,21,68,76,68,74,53,79
Diego Raposo,Krumovgrad,ATACANTE,BUL,1.96,3.75,2.01,-0.14,-0.56,0.12,2.33,-0.02,-0.85,91,94,91,44,38,62,100,62,35
A. Conteh,Lokomotiv Plovdiv,ATACANTE,BUL,3.41,0.08,3.02,3.24,-1.48,1.15,0.11,3.53,-2.2,100,65,97,100,15,76,56,100,12
M. Estrada,CSKA Sofia,ATACANTE,BUL,-1.07,-0.25,-0.59,-0.12,0.08,2.74,-0.02,-0.34,0.16,24,53,38,47,56,97,53,41,53
E. Sorga,Sumqayıt,ATACANTE,BUL,-1.58,-1.32,-2.54,-2.91,-2.64,-3.02,0.75,-1.18,0.82,9,26,3,3,3,3,71,3,65
D. Mitkov,Lokomotiv Sofia 1929,ATACANTE,BUL,-0.15,0.36,0.2,-0.03,-0.43,-0.61,0.3,-0.94,2.2,59,74,65,53,44,41,59,15,91
M. Cevallos,Beroe,ATACANTE,BUL,-1.0,1.21,-1.94,-1.96,2.02,1.2,-1.15,-1.11,-1.09,26,82,6,9,91,82,26,6,32
S. Kostov,OFK Pirin,ATACANTE,BUL,-1.2,-2.5,-1.14,-1.17,-2.12,-1.69,-1.6,0.25,-0.34,18,3,15,21,6,12,15,79,44
Rwan Cruz,Ludogorets,ATACANTE,BUL,-0.67,-0.88,0.12,-1.34,0.17,-0.13,-0.24,-0.4,1.05,38,41,59,12,62,56,47,38,74
V. Nikolov,Slavia Sofia,ATACANTE,BUL,0.2,-0.16,-0.96,-1.98,-0.47,-1.49,-0.44,-0.04,-1.95,71,56,18,6,41,24,41,59,15
K. Krastev,Lokomotiv Sofia 1929,ATACANTE,BUL,-0.42,-0.37,0.94,1.73,1.61,-0.41,-1.63,-0.11,-1.4,47,50,85,94,88,50,12,56,29
M. Phaeton,CSKA Sofia,ATACANTE,BUL,2.06,1.24,0.61,1.69,-1.98,3.2,-1.29,2.85,-2.6,94,85,76,91,9,100,21,97,3
H. Komano,OFK Pirin,ATACANTE,BUL,-1.33,-1.82,-0.29,-0.28,0.47,-0.28,-0.78,-0.25,-1.63,15,12,47,41,74,53,32,44,24
M. Toshev,Etar,ATACANTE,BUL,0.15,0.91,0.42,-1.3,3.25,-1.63,-0.93,-1.0,1.03,68,79,71,15,100,15,29,12,71
M. Sekulić,Botev Plovdiv,ATACANTE,BUL,-0.62,-1.52,-0.08,-0.09,1.59,-0.43,1.44,0.21,1.73,44,18,53,50,85,47,85,74,82
Garcez,Coritiba,ATACANTE,BUL,1.02,3.9,0.13,-0.93,-0.08,-0.98,0.47,0.18,-0.39,79,97,62,29,50,26,62,68,41
I. Issa,Cherno More,ATACANTE,BUL,-0.81,-1.0,-0.62,1.16,0.01,1.18,0.47,-0.23,1.07,32,32,35,76,53,79,65,47,76
G. Nikolov,Hebar 1918,ATACANTE,BUL,-0.92,-1.24,-0.66,-1.17,1.45,-0.93,2.15,-0.5,0.39,29,29,29,18,82,29,97,26,59
M. Petkov,Turan-T,ATACANTE,BUL,-0.04,-1.35,0.86,1.62,2.05,-0.55,-2.21,-0.21,-1.76,62,24,82,88,94,44,6,50,21
Thiago,Club Brugge,ATACANTE,BUL,-0.02,0.06,-0.14,0.49,2.78,1.6,2.14,0.2,1.78,65,62,50,71,97,85,94,71,85
M. Majouga,Botev Vratsa,ATACANTE,BUL,-0.69,-0.12,-0.67,1.84,-1.02,-1.56,-0.17,0.82,-1.45,35,59,26,97,21,21,50,91,26
G. Minchev,Lokomotiv Plovdiv,ATACANTE,BUL,-1.63,-2.28,-0.35,0.28,-0.77,-0.04,-1.18,-0.83,-0.43,6,6,44,65,35,59,24,21,38
E. Stoev,Slavia Sofia,ATACANTE,BUL,1.84,4.07,0.96,1.39,-0.94,-0.81,-2.38,-0.47,-2.57,88,100,88,82,26,32,3,29,6
T. Yordanov,Arda,ATACANTE,BUL,-0.16,0.79,-0.63,-0.9,-0.26,-1.71,2.09,-0.85,2.58,56,76,32,32,47,9,91,18,100
A. Iliev,Cherno More,ATACANTE,BUL,-1.09,-1.54,0.24,0.15,0.23,0.76,0.94,-1.09,2.26,21,15,68,62,65,71,79,9,94
A. Kolev,Krumovgrad,ATACANTE,BUL,0.81,0.31,2.1,1.31,1.17,-1.6,-0.48,-0.4,-0.24,76,71,94,79,79,18,38,35,47
A. Baroan,Botev Plovdiv,ATACANTE,BUL,0.43,-0.47,0.1,-0.48,-1.28,2.28,0.88,0.07,1.79,74,47,56,38,18,88,76,65,88
B. Perea,Botev Vratsa,ATACANTE,BUL,1.41,2.19,0.77,-0.5,0.23,0.92,-0.38,0.23,0.15,82,88,79,35,68,74,44,76,50
P. Borukov,Arda,ATACANTE,BUL,-0.36,-0.88,0.57,1.54,0.12,0.4,0.69,0.27,0.24,50,38,74,85,59,65,68,82,56
D. Kondrakov,OFK Pirin,ATACANTE,BUL,-0.2,0.13,-0.56,-1.09,-1.01,-2.11,-0.55,-0.42,0.74,53,68,41,24,24,6,35,32,62
D. Nazon,CSKA Sofia,ATACANTE,BUL,-0.64,-1.39,-0.91,-0.03,-1.48,2.72,1.85,0.44,2.48,41,21,24,56,12,94,88,85,97
Ricardinho,Levski Sofia,ATACANTE,BUL,-1.71,-0.68,-1.91,-0.95,-0.78,-0.73,1.2,-0.72,0.9,3,44,9,26,32,38,82,24,68
D. Iliev,Lokomotiv Plovdiv,ATACANTE,BUL,3.0,-0.93,3.3,0.0,-0.85,2.48,-1.82,0.5,-2.2,97,35,100,59,29,91,9,88,9
França,Lokomotiv Sofia 1929,ATACANTE,BUL,1.46,3.56,-1.46,0.5,0.26,-0.78,-1.38,1.74,-1.88,85,91,12,74,71,35,18,94,18
M. Belmar,O'Higgins,ATACANTE,CHI,0.59,1.0,0.57,-0.28,-0.9,-1.5,0.75,-0.38,0.07,66,77,74,43,29,20,86,46,57
B. Blando,O'Higgins,ATACANTE,CHI,-0.54,-0.74,-1.08,-0.5,-0.63,-0.9,0.66,2.74,-0.45,43,37,17,40,37,37,74,100,49
J. Larrivey,Magallanes,ATACANTE,CHI,-0.42,-1.07,0.76,-0.94,2.51,-2.14,4.41,-1.29,3.73,46,31,77,26,97,6,100,3,97
A. Rodríguez,Unión La Calera,ATACANTE,CHI,-1.31,0.89,-1.24,-0.8,-1.25,0.3,0.47,-0.75,1.1,20,74,11,31,23,63,69,29,80
A. Valdés,Ñublense,ATACANTE,CHI,3.17,4.93,0.51,-0.26,-2.43,-0.55,0.71,-0.69,-0.48,100,100,71,46,6,43,77,31,46
L. Riveros,Cerro Porteño,ATACANTE,CHI,0.7,2.11,0.35,1.16,-0.68,-0.14,-0.78,0.75,-2.53,71,91,63,80,34,57,31,74,3
B. Barticciotto,Talleres Córdoba,ATACANTE,CHI,2.04,1.5,1.32,1.66,-1.32,0.79,-1.04,1.77,-1.85,94,89,86,86,20,74,20,97,9
E. Moreira,O'Higgins,ATACANTE,CHI,0.43,1.1,0.32,-1.43,2.22,-2.14,-1.9,0.24,-1.04,60,83,60,14,91,3,6,63,29
L. Passerini,Belgrano,ATACANTE,CHI,1.47,-0.19,2.06,3.22,0.56,2.02,0.74,0.87,0.68,89,46,97,100,69,94,83,83,71
L. Benegas,Colo Colo,ATACANTE,CHI,-1.54,-0.56,-1.71,-1.42,-0.62,-1.65,-0.03,-0.61,-0.23,11,40,6,17,40,14,51,34,51
A. Vilches,Ñublense,ATACANTE,CHI,-0.6,0.36,-0.86,-1.58,-1.53,-0.35,-0.91,-0.54,-1.74,37,60,29,6,17,46,23,40,14
F. Di Santo,Universidad Católica,ATACANTE,CHI,-0.9,0.77,-0.48,-0.8,2.1,-1.27,-0.5,-0.96,-0.77,29,66,43,34,89,23,43,26,34
A. Castillo,O'Higgins,ATACANTE,CHI,0.85,-0.37,2.02,2.42,3.33,1.5,-0.54,-1.12,1.12,77,43,91,94,100,86,37,9,83
T. Figueroa,Curicó Unido,ATACANTE,CHI,0.88,1.19,2.13,-0.09,1.28,-1.74,-2.91,-1.13,-1.8,80,86,100,54,80,11,3,6,11
I. Sosa,Ñublense,ATACANTE,CHI,2.2,0.22,1.68,1.87,-1.87,0.71,-1.52,1.22,-1.72,97,54,89,89,14,69,11,86,17
S. Lomónaco,Unión La Calera,ATACANTE,CHI,0.13,-0.08,-0.4,1.91,-2.03,-0.28,-0.9,-0.08,-0.65,57,49,49,91,9,51,26,57,40
C. Palacios,Universidad de Chile,ATACANTE,CHI,-2.66,-2.61,-1.96,-0.25,-0.2,-1.21,0.35,-1.03,2.53,3,9,3,49,54,29,63,14,91
I. Díaz,Copiapó,ATACANTE,CHI,-0.03,3.68,-1.01,-2.3,2.03,-1.16,-0.53,-0.31,-0.09,51,97,23,3,86,31,40,51,54
D. Pizarro,Colo Colo,ATACANTE,CHI,-0.84,-2.11,-1.36,-0.08,-0.23,1.79,0.5,1.53,-0.67,31,14,9,57,51,91,71,91,37
G. Lezcano,Cobresal,ATACANTE,CHI,1.1,-2.63,0.5,0.08,-1.88,6.12,2.8,0.25,0.23,83,6,69,69,11,100,97,66,66
F. Flores,Magallanes,ATACANTE,CHI,-1.52,-2.26,-0.49,-1.2,-1.11,-1.24,-1.25,-0.22,-2.17,14,11,37,23,26,26,17,54,6
M. Campos,Everton,ATACANTE,CHI,-0.23,1.07,-0.78,-0.65,0.89,-0.26,-0.48,0.4,-1.18,49,80,31,37,71,54,46,71,26
D. Coelho,Curicó Unido,ATACANTE,CHI,-1.06,-1.59,0.02,0.0,2.49,-1.88,0.24,-1.02,1.09,23,20,57,66,94,9,57,17,77
L. Fernández,Universidad de Chile,ATACANTE,CHI,1.28,0.16,-0.48,2.6,-2.75,0.6,-0.6,1.62,0.17,86,51,40,97,3,66,34,94,63
N. Guerra,Universidad de Chile,ATACANTE,CHI,0.85,2.35,-0.42,-0.02,1.11,0.1,-1.26,0.32,-1.68,74,94,46,60,77,60,14,69,20
P. Rubio,Ñublense,ATACANTE,CHI,1.94,0.85,1.3,-0.16,-0.2,0.79,1.77,-0.32,2.27,91,71,83,51,57,71,94,49,89
M. Rodríguez,Huachipato,ATACANTE,CHI,-0.58,0.84,-0.3,0.0,1.09,0.83,-0.39,-0.04,-0.59,40,69,51,63,74,77,49,60,43
M. Quinteros,Copiapó,ATACANTE,CHI,-0.99,-2.05,-1.2,0.18,-0.37,-0.31,-0.83,0.76,-1.02,26,17,14,71,46,49,29,77,31
C. Waterman,Cobresal,ATACANTE,CHI,-1.34,-2.91,-0.24,-1.5,-0.26,-0.72,1.39,-0.6,2.67,17,3,54,9,49,40,89,37,94
M. Salas,Palestino,ATACANTE,CHI,-0.73,0.23,-0.68,1.07,0.28,1.51,-1.67,1.33,-1.57,34,57,34,77,63,89,9,89,23
S. Sáez,Everton,ATACANTE,CHI,-0.01,0.46,0.39,1.34,-0.75,1.22,0.45,-0.96,0.93,54,63,66,83,31,83,66,23,74
G. Sosa,Audax Italiano,ATACANTE,CHI,-1.73,-1.27,-0.97,-1.21,-0.57,-0.99,0.13,-0.98,0.43,6,23,26,20,43,34,54,20,69
R. Holgado,Coquimbo Unido,ATACANTE,CHI,0.48,-1.11,0.77,-0.93,-0.18,0.88,0.73,0.85,1.17,63,29,80,29,60,80,80,80,86
F. Zampedri,Universidad Católica,ATACANTE,CHI,-1.71,-1.17,-1.06,-1.44,0.48,-1.59,1.66,-1.1,3.9,9,26,20,11,66,17,91,11,100
L. Garate,Unión Española,ATACANTE,CHI,0.65,-0.98,2.03,0.3,1.37,2.88,0.29,-0.54,0.15,69,34,94,74,83,97,60,43,60
Paulinho,Al Bataeh,ATACANTE,CHN,3.27,2.33,2.26,-0.88,-1.65,1.64,-0.24,0.24,-0.59,100,88,97,36,12,82,36,70,36
Yin Congyao,Meizhou Hakka,ATACANTE,CHN,-0.71,-1.2,-0.93,-1.13,-1.6,-1.41,0.54,-0.57,0.04,36,27,27,24,15,24,73,33,55
Zheng Haoqian,Nantong Zhiyun,ATACANTE,CHN,0.2,3.2,-1.33,-2.36,-1.27,-1.32,-0.9,-0.86,-0.72,67,97,12,6,24,30,18,18,33
Yu Dabao,Beijing Guoan,ATACANTE,CHN,1.41,2.13,1.99,-0.92,-0.11,0.25,-3.57,-0.98,-3.49,85,85,88,33,45,58,6,6,6
Feng Boyuan,Henan Songshan Longmen,ATACANTE,CHN,-0.32,-1.74,-0.18,-2.61,0.94,-2.48,-0.72,-0.85,-0.87,58,18,58,3,79,3,21,21,21
Song Wenjie,Qingdao Hainiu,ATACANTE,CHN,0.57,1.19,1.02,0.81,0.61,0.91,-0.05,0.87,-0.8,76,76,76,76,73,70,45,88,27
T. Conraad,Meizhou Hakka,ATACANTE,CHN,-0.88,-0.31,-1.57,-1.0,-2.21,1.08,0.89,-0.41,0.37,30,58,9,30,9,76,79,48,61
Fábio Abreu,Beijing Guoan,ATACANTE,CHN,-0.6,-1.37,-0.07,-0.28,0.32,2.47,2.48,0.54,4.11,42,24,61,55,67,94,100,82,100
F. Acheampong,Shenzhen,ATACANTE,CHN,-0.91,-2.71,-0.92,1.71,-0.85,-0.18,0.17,0.48,-0.31,27,6,30,91,33,52,52,79,45
Cheng Changcheng,Changchun Yatai,ATACANTE,CHN,-0.62,-0.03,-0.78,-0.6,-1.06,-2.08,-0.51,-0.97,-0.75,39,61,36,45,30,15,27,9,30
Cao Yunding,Shanghai Shenhua,ATACANTE,CHN,1.3,-0.77,2.48,1.29,0.69,5.43,-1.51,0.85,-2.41,82,36,100,79,76,100,12,85,12
Wang Ziming,Beijing Guoan,ATACANTE,CHN,-0.5,-0.35,-0.23,0.03,0.02,-0.36,2.28,-0.51,0.52,52,52,55,64,52,48,97,39,67
Yan Xiangchuang,Dalian Pro,ATACANTE,CHN,-1.37,-0.63,-2.56,-2.02,-3.11,-1.0,1.95,-0.91,-0.81,15,42,3,9,3,39,94,15,24
S. Tabekou,Qingdao Hainiu,ATACANTE,CHN,1.53,1.22,1.47,6.01,-0.1,3.04,-3.04,2.1,-2.72,88,79,85,100,48,97,9,94,9
Xie Weijun,Tianjin Tigers,ATACANTE,CHN,-0.84,1.81,-0.4,-0.59,2.36,-1.35,0.45,-0.58,0.47,33,82,48,48,94,27,67,30,64
E. Kangwa,Qingdao Hainiu,ATACANTE,CHN,0.39,0.33,0.27,2.59,-0.29,0.49,-0.21,1.69,-0.41,70,64,64,97,36,67,42,91,42
Du Yuezheng,Shenzhen,ATACANTE,CHN,-0.6,-0.32,-1.18,-1.0,-1.48,-2.48,-4.02,-0.48,-3.77,45,55,18,27,21,6,3,42,3
A. Yakubu,Wuhan Three Towns,ATACANTE,CHN,-1.97,-2.92,-1.02,0.64,0.09,-1.02,1.73,-0.27,2.29,3,3,24,70,58,36,91,55,91
A. Mierzejewski,Henan Songshan Longmen,ATACANTE,CHN,2.43,2.75,2.06,0.4,-0.13,2.23,0.37,0.2,-1.49,91,91,91,67,42,91,64,67,15
C. Manzoki,Dalian Pro,ATACANTE,CHN,-0.34,0.46,-0.63,-0.26,1.75,-1.88,0.35,-0.55,1.32,55,67,39,58,88,18,61,36,88
F. Brown Forbes,Qingdao Hainiu,ATACANTE,CHN,-1.07,-1.9,-0.86,-1.45,0.06,-2.21,-0.21,-0.71,0.65,24,12,33,15,55,12,39,27,70
J. Locadia,Cangzhou Mighty Lions,ATACANTE,CHN,-1.08,-1.96,-0.58,-0.62,-1.57,0.43,-0.66,-0.26,-0.53,21,9,42,42,18,64,24,58,39
Cryzan,Shandong Taishan,ATACANTE,CHN,3.15,3.2,2.17,1.66,0.42,2.06,0.31,2.92,0.84,97,94,94,88,70,88,55,100,76
R. Castillo,Nantong Zhiyun,ATACANTE,CHN,-1.44,-1.84,-1.2,-1.58,0.13,-2.32,-0.38,-0.92,0.75,9,15,15,12,61,9,30,12,73
N. Čović,Henan Songshan Longmen,ATACANTE,CHN,0.62,0.46,0.86,-1.24,3.43,-1.57,1.47,-0.48,2.33,79,70,73,21,97,21,85,45,94
Leonardo,Zhejiang Professional,ATACANTE,CHN,-1.25,-1.49,-1.68,-0.4,-2.27,1.79,1.32,-0.17,1.12,18,21,6,52,6,85,82,61,82
M. Fellaini,Shandong Taishan,ATACANTE,CHN,-0.12,-0.74,1.22,0.76,3.59,-0.09,0.76,-1.18,0.27,61,39,79,73,100,55,76,3,58
R. Beric,Tianjin Tigers,ATACANTE,CHN,-0.58,-0.88,-0.56,-0.8,-0.13,-0.79,0.05,0.27,1.09,48,30,45,39,39,42,48,73,79
Davidson,Wuhan Three Towns,ATACANTE,CHN,2.7,3.49,1.24,2.5,-1.15,1.35,-1.18,2.24,-1.33,94,100,82,94,27,79,15,97,18
N. Mushekwi,Zhejiang Professional,ATACANTE,CHN,-1.7,-0.78,-1.03,-1.35,0.98,-1.25,1.57,-0.84,3.59,6,33,21,18,82,33,88,24,97
Felipe,Chengdu Rongcheng,ATACANTE,CHN,0.48,0.56,0.52,-0.2,2.23,0.29,0.32,0.12,-0.05,73,73,70,61,91,61,58,64,48
C. Malele,Shanghai Shenhua,ATACANTE,CHN,0.2,-0.6,0.51,1.35,1.19,-0.65,-0.27,0.38,0.01,64,45,67,82,85,45,33,76,52
Wu Lei,Shanghai Port,ATACANTE,CHN,-1.38,-0.58,-0.37,1.54,0.14,0.99,0.47,-0.41,1.31,12,48,52,85,64,73,70,52,85
A. Balboa,Deportivo Pereira,ATACANTE,COL,-0.51,1.02,-0.49,-0.66,1.34,1.31,0.72,-0.5,-0.01,38,71,38,33,80,87,71,40,56
J. Alegría,Jaguares de Córdoba,ATACANTE,COL,-0.54,0.04,-0.79,-0.97,-1.07,-1.58,-0.94,0.46,-0.88,36,58,27,29,36,18,33,69,31
B. Garcés,Envigado,ATACANTE,COL,-1.04,-1.44,-1.67,-1.38,-3.13,-1.0,0.62,-0.38,1.66,20,22,7,18,2,29,64,47,89
K. Aladesanmi,Deportivo Táchira,ATACANTE,COL,0.74,-1.83,1.84,1.76,0.37,0.95,-1.09,0.73,-1.09,80,13,96,84,58,76,29,82,29
D. Cambindo,Cruz Azul,ATACANTE,COL,0.22,0.01,0.32,4.44,-1.72,-0.91,2.75,1.09,0.07,64,56,62,100,18,33,96,89,60
E. Ramírez,Atlético Nacional,ATACANTE,COL,-1.2,-0.33,-1.86,-0.43,-1.14,1.94,1.73,0.01,1.5,18,44,4,42,29,89,91,56,87
M. Martínez,Atlético Bucaramanga,ATACANTE,COL,-0.86,-1.65,-0.68,-1.16,-0.81,-0.1,-1.53,-0.59,-0.48,27,16,33,27,38,60,16,33,44
Y. Moreno,Santa Fe,ATACANTE,COL,-0.71,-0.93,-0.6,1.1,2.59,-0.66,-1.23,-0.66,-1.5,31,29,36,80,96,47,24,29,16
